"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2019","32.99","32.23","33.12","32.05","-","2.16%"
"Jun 15, 2019","32.93","32.98","33.13","32.39","-","-0.18%"
"Jun 16, 2019","33.43","32.91","34.27","32.84","-","1.52%"
"Jun 17, 2019","34.09","33.44","34.52","33.40","-","1.97%"
"Jun 18, 2019","34.34","34.12","34.69","33.93","-","0.74%"
"Jun 19, 2019","34.53","34.39","34.61","33.92","-","0.55%"
"Jun 20, 2019","35.09","34.58","35.77","34.41","-","1.61%"
"Jun 21, 2019","34.61","35.11","35.11","33.55","-","-1.37%"
"Jun 22, 2019","34.57","34.53","35.98","33.72","-","-0.12%"
"Jun 23, 2019","35.38","34.48","35.65","33.99","-","2.35%"
"Jun 24, 2019","35.52","35.29","35.87","34.96","-","0.41%"
"Jun 25, 2019","37.15","35.48","37.21","35.41","-","4.58%"
"Jun 26, 2019","38.67","37.19","39.49","36.25","-","4.08%"
"Jun 27, 2019","38.04","38.47","39.00","36.48","-","-1.62%"
"Jun 28, 2019","39.88","37.76","40.17","36.96","-","4.84%"
"Jun 29, 2019","37.54","39.80","40.04","36.81","-","-5.88%"
"Jun 30, 2019","37.13","37.49","38.40","36.93","-","-1.09%"
"Jul 01, 2019","36.07","37.00","37.58","35.69","-","-2.85%"
"Jul 02, 2019","37.22","36.01","37.73","35.30","-","3.19%"
"Jul 03, 2019","39.65","37.38","39.76","37.22","-","6.53%"
"Jul 04, 2019","39.46","39.69","40.52","39.01","-","-0.49%"
"Jul 05, 2019","38.13","39.49","39.80","37.76","-","-3.37%"
"Jul 06, 2019","39.12","38.25","39.53","38.25","-","2.61%"
"Jul 07, 2019","37.45","38.90","39.19","37.01","-","-4.27%"
"Jul 08, 2019","39.32","37.47","39.67","37.17","-","5.00%"
"Jul 09, 2019","40.78","39.29","41.12","39.22","-","3.71%"
"Jul 10, 2019","41.88","40.86","43.64","40.78","-","2.69%"
"Jul 11, 2019","42.24","41.83","43.42","41.23","-","0.88%"
"Jul 12, 2019","42.79","42.20","43.20","41.54","-","1.28%"
"Jul 13, 2019","42.27","42.88","43.01","41.13","-","-1.22%"
"Jul 14, 2019","45.06","42.40","45.56","41.56","-","6.62%"
"Jul 15, 2019","47.59","45.19","49.33","44.94","-","5.61%"
"Jul 16, 2019","47.45","47.68","49.65","46.66","-","-0.29%"
"Jul 17, 2019","46.04","47.44","48.09","44.77","-","-2.97%"
"Jul 18, 2019","47.11","45.99","47.67","44.51","-","2.32%"
"Jul 19, 2019","47.56","47.14","48.36","46.86","-","0.95%"
"Jul 20, 2019","47.12","47.67","47.67","45.72","-","-0.92%"
"Jul 21, 2019","46.96","47.08","47.96","46.61","-","-0.34%"
"Jul 22, 2019","47.52","47.14","48.47","46.79","-","1.20%"
"Jul 23, 2019","46.49","47.38","47.90","46.18","-","-2.18%"
"Jul 24, 2019","45.14","46.42","47.71","44.55","-","-2.89%"
"Jul 25, 2019","45.12","45.10","45.63","44.79","-","-0.06%"
"Jul 26, 2019","44.90","45.11","45.48","44.54","-","-0.48%"
"Jul 27, 2019","45.85","44.91","46.21","44.83","-","2.11%"
"Jul 28, 2019","45.22","45.70","46.57","44.79","-","-1.37%"
"Jul 29, 2019","45.17","45.21","45.98","44.92","-","-0.11%"
"Jul 30, 2019","45.72","45.15","46.04","44.99","-","1.23%"
"Jul 31, 2019","46.23","45.68","46.97","45.24","-","1.10%"
"Aug 01, 2019","47.94","46.25","48.58","46.15","-","3.70%"
"Aug 02, 2019","48.38","47.96","48.61","47.36","-","0.92%"
"Aug 03, 2019","48.72","48.35","49.48","47.90","-","0.70%"
"Aug 04, 2019","49.26","48.73","50.08","48.58","-","1.10%"
"Aug 05, 2019","50.63","49.35","51.58","49.21","-","2.80%"
"Aug 06, 2019","50.74","50.49","52.41","50.18","-","0.21%"
"Aug 07, 2019","52.95","50.70","53.45","50.67","-","4.36%"
"Aug 08, 2019","54.31","53.18","54.52","52.39","-","2.56%"
"Aug 09, 2019","56.46","54.43","57.46","53.96","-","3.95%"
"Aug 10, 2019","54.78","56.58","56.58","54.40","-","-2.98%"
"Aug 11, 2019","53.58","54.81","54.98","52.72","-","-2.18%"
"Aug 12, 2019","53.86","53.37","54.06","53.37","-","0.52%"
"Aug 13, 2019","52.09","53.83","54.48","51.92","-","-3.29%"
"Aug 14, 2019","53.95","52.05","55.18","50.54","-","3.58%"
"Aug 15, 2019","54.83","54.49","56.02","52.94","-","1.62%"
"Aug 16, 2019","55.86","54.72","56.99","54.01","-","1.89%"
"Aug 17, 2019","55.12","55.99","56.30","54.78","-","-1.33%"
"Aug 18, 2019","52.96","55.13","55.27","52.66","-","-3.92%"
"Aug 19, 2019","53.97","53.05","54.24","52.86","-","1.89%"
"Aug 20, 2019","54.80","54.03","55.21","53.90","-","1.55%"
"Aug 21, 2019","54.15","54.83","55.31","53.64","-","-1.20%"
"Aug 22, 2019","53.07","53.69","54.07","52.18","-","-1.99%"
"Aug 23, 2019","53.57","53.01","54.34","52.69","-","0.94%"
"Aug 24, 2019","53.17","53.56","54.08","52.59","-","-0.74%"
"Aug 25, 2019","54.35","53.25","54.56","52.95","-","2.21%"
"Aug 26, 2019","55.04","54.46","55.39","53.80","-","1.29%"
"Aug 27, 2019","54.37","55.09","55.26","53.87","-","-1.22%"
"Aug 28, 2019","56.23","54.41","57.77","54.23","-","3.41%"
"Aug 29, 2019","56.25","56.20","57.38","55.37","-","0.04%"
"Aug 30, 2019","56.94","56.45","57.50","55.88","-","1.22%"
"Aug 31, 2019","55.90","56.93","57.58","55.31","-","-1.83%"
"Sep 01, 2019","57.17","55.85","57.25","55.54","-","2.27%"
"Sep 02, 2019","58.15","57.10","58.39","56.64","-","1.72%"
"Sep 03, 2019","59.38","58.19","60.03","57.86","-","2.11%"
"Sep 04, 2019","60.51","59.41","60.82","58.69","-","1.91%"
"Sep 05, 2019","60.84","60.47","61.80","60.24","-","0.55%"
"Sep 06, 2019","60.98","60.85","62.02","60.22","-","0.22%"
"Sep 07, 2019","58.81","60.88","61.42","58.24","-","-3.56%"
"Sep 08, 2019","57.26","58.84","58.89","57.05","-","-2.63%"
"Sep 09, 2019","57.09","57.31","57.97","56.34","-","-0.30%"
