"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2020","466.60","450.65","474.15","450.65","97.93K","3.54%"
"Nov 10, 2020","450.65","444.53","452.89","443.06","45.81K","1.38%"
"Nov 09, 2020","444.53","455.17","456.67","441.48","70.69K","-2.34%"
"Nov 08, 2020","455.17","435.96","456.74","435.96","67.84K","4.41%"
"Nov 07, 2020","435.96","455.59","463.66","432.17","234.67K","-4.31%"
"Nov 06, 2020","455.59","416.16","456.02","416.16","147.75K","9.44%"
"Nov 05, 2020","416.29","402.47","417.85","398.47","119.09K","3.43%"
"Nov 04, 2020","402.47","388.23","403.26","380.52","91.63K","3.67%"
"Nov 03, 2020","388.23","383.35","388.24","374.05","41.40K","1.27%"
"Nov 02, 2020","383.35","396.56","403.20","383.35","67.27K","-3.33%"
"Nov 01, 2020","396.56","386.47","396.56","386.22","27.52K","2.59%"
"Oct 31, 2020","386.56","382.90","392.10","382.90","41.09K","0.96%"
"Oct 30, 2020","382.90","387.06","390.46","378.86","45.35K","-1.07%"
"Oct 29, 2020","387.06","388.39","391.28","385.44","31.17K","-0.34%"
"Oct 28, 2020","388.39","403.02","407.25","384.41","61.36K","-3.63%"
"Oct 27, 2020","403.02","392.68","407.59","392.68","58.00K","2.63%"
"Oct 26, 2020","392.68","406.00","409.27","386.36","94.82K","-3.28%"
"Oct 25, 2020","406.00","412.49","415.78","405.95","33.12K","-1.57%"
"Oct 24, 2020","412.49","409.58","416.68","408.00","39.31K","0.71%"
"Oct 23, 2020","409.58","414.31","417.71","402.59","62.25K","-1.14%"
"Oct 22, 2020","414.31","391.37","418.12","391.37","149.34K","5.87%"
"Oct 21, 2020","391.33","368.80","397.97","368.80","133.50K","6.11%"
"Oct 20, 2020","368.80","379.63","379.67","367.85","59.09K","-2.85%"
"Oct 19, 2020","379.60","378.74","382.41","374.06","35.17K","0.23%"
"Oct 18, 2020","378.74","368.77","378.74","368.16","30.16K","2.70%"
"Oct 17, 2020","368.77","365.75","368.77","365.75","23.54K","0.85%"
"Oct 16, 2020","365.65","377.96","379.58","365.14","59.27K","-3.26%"
"Oct 15, 2020","377.96","379.41","379.41","373.17","33.55K","-0.38%"
"Oct 14, 2020","379.41","381.77","387.17","374.27","37.75K","-0.62%"
"Oct 13, 2020","381.77","387.57","387.57","378.56","37.60K","-1.50%"
"Oct 12, 2020","387.57","374.50","391.93","367.81","78.93K","3.49%"
"Oct 11, 2020","374.50","371.17","376.28","370.67","17.46K","0.90%"
"Oct 10, 2020","371.17","365.70","378.22","365.70","37.60K","1.50%"
"Oct 09, 2020","365.70","351.50","369.00","348.09","39.28K","4.04%"
