"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2020","0.2544","0.2523","0.2581","0.2517","18.48M","0.79%"
"Nov 10, 2020","0.2524","0.2503","0.2636","0.2494","36.68M","0.92%"
"Nov 09, 2020","0.2501","0.2536","0.2547","0.2492","12.82M","-1.38%"
"Nov 08, 2020","0.2536","0.2488","0.2544","0.2488","7.21M","1.89%"
"Nov 07, 2020","0.2489","0.2583","0.2646","0.2475","24.55M","-3.64%"
"Nov 06, 2020","0.2583","0.2448","0.2587","0.2448","21.34M","5.64%"
"Nov 05, 2020","0.2445","0.2357","0.2458","0.2357","18.42M","3.65%"
"Nov 04, 2020","0.2359","0.2381","0.2381","0.2340","10.22M","-0.92%"
"Nov 03, 2020","0.2381","0.2327","0.2381","0.2274","22.74M","2.19%"
"Nov 02, 2020","0.2330","0.2380","0.2385","0.2327","9.60M","-2.02%"
"Nov 01, 2020","0.2378","0.2379","0.2391","0.2358","4.44M","0.00%"
"Oct 31, 2020","0.2378","0.2377","0.2406","0.2369","9.12M","0.04%"
"Oct 30, 2020","0.2377","0.2412","0.2412","0.2326","11.60M","-1.45%"
"Oct 29, 2020","0.2412","0.2446","0.2450","0.2412","8.45M","-1.47%"
"Oct 28, 2020","0.2448","0.2521","0.2521","0.2448","13.82M","-2.82%"
"Oct 27, 2020","0.2519","0.2474","0.2523","0.2474","10.49M","1.82%"
"Oct 26, 2020","0.2474","0.2525","0.2553","0.2474","11.91M","-1.98%"
"Oct 25, 2020","0.2524","0.2556","0.2556","0.2511","6.84M","-1.33%"
"Oct 24, 2020","0.2558","0.2543","0.2562","0.2538","8.29M","0.59%"
"Oct 23, 2020","0.2543","0.2562","0.2570","0.2527","12.29M","-0.74%"
"Oct 22, 2020","0.2562","0.2504","0.2610","0.2504","26.26M","2.19%"
"Oct 21, 2020","0.2507","0.2431","0.2518","0.2431","21.25M","3.13%"
"Oct 20, 2020","0.2431","0.2455","0.2458","0.2431","11.73M","-0.94%"
"Oct 19, 2020","0.2454","0.2422","0.2476","0.2410","13.05M","1.32%"
"Oct 18, 2020","0.2422","0.2405","0.2427","0.2405","4.84M","0.75%"
