open,high,low,close,5. volume,market cap
448.70000000,448.70000000,448.70000000,448.70000000,0.00000000,0.00000000
452.54000000,468.99000000,389.00000000,448.70000000,103980.90483000,103980.90483000
519.51000000,532.49000000,420.00000000,452.74000000,124861.36451000,124861.36451000
520.87000000,553.99000000,508.00000000,519.51000000,101768.45420000,101768.45420000
535.34000000,543.60000000,503.22000000,521.07000000,81887.87256000,81887.87256000
559.10000000,563.92000000,517.49000000,535.36000000,61103.92952000,61103.92952000
546.70000000,580.00000000,533.81000000,559.02000000,61789.90190000,61789.90190000
578.51000000,603.66000000,530.00000000,546.54000000,93325.54298000,93325.54298000
620.94000000,625.15000000,574.80000000,578.52000000,87830.75030000,87830.75030000
633.67000000,646.98000000,610.38000000,620.94000000,100325.25957000,100325.25957000
563.59000000,637.38000000,547.34000000,632.47000000,99738.12915000,99738.12915000
570.83000000,585.00000000,540.99000000,563.69000000,91123.51518000,91123.51518000
480.83000000,594.98000000,480.28000000,570.83000000,119393.25621000,119393.25621000
465.50000000,488.40000000,458.17000000,480.45000000,28159.51270000,28159.51270000
427.51000000,477.97000000,426.24000000,465.88000000,38425.65422000,38425.65422000
427.05000000,429.77000000,424.10000000,427.51000000,6940.69361000,6940.69361000
423.49000000,432.84000000,410.00000000,427.37000000,14315.15208000,14315.15208000
418.91000000,425.50000000,417.00000000,423.45000000,7356.90764000,7356.90764000
442.25000000,442.97000000,414.05000000,418.57000000,17199.20986000,17199.20986000
440.45000000,444.42000000,438.13000000,442.59000000,8600.37468000,8600.37468000
444.30000000,444.56000000,434.72000000,440.12000000,5841.52237000,5841.52237000
445.48000000,450.89000000,441.47000000,443.97000000,8143.09180000,8143.09180000
448.02000000,451.11000000,443.50000000,445.00000000,7493.41407000,7493.41407000
449.03000000,456.50000000,446.69000000,447.72000000,9051.81828000,9051.81828000
456.40000000,458.29000000,443.61000000,449.03000000,12681.79524000,12681.79524000
455.58000000,461.36000000,449.80000000,456.39000000,23796.47469000,23796.47469000
455.23000000,466.93000000,453.61000000,455.61000000,37722.30882000,37722.30882000
446.66000000,459.27000000,442.22000000,455.57000000,32420.52232000,32420.52232000
446.91000000,452.98000000,436.67000000,446.96000000,31752.14386000,31752.14386000
462.08000000,471.56000000,439.69000000,446.06000000,44460.04543000,44460.04543000
469.96000000,473.00000000,457.75000000,462.08000000,39547.48563000,39547.48563000
470.10000000,483.49000000,462.36000000,469.95000000,37612.07146000,37612.07146000
443.92000000,521.00000000,436.32000000,470.11000000,81898.84246000,81898.84246000
453.55000000,458.25000000,440.89000000,444.59000000,37841.91268000,37841.91268000
445.52000000,456.79000000,443.73000000,453.91000000,36828.18183000,36828.18183000
433.60000000,458.29000000,428.56000000,445.53000000,41085.23194000,41085.23194000
