open,high,low,close,5. volume,market cap
2.80230000,2.81060000,2.77840000,2.79940000,468527.50000000,468527.50000000
2.94920000,2.96040000,2.74400000,2.80300000,9609375.93000000,9609375.93000000
2.99750000,3.00900000,2.90690000,2.94910000,7935160.02000000,7935160.02000000
3.00900000,3.03610000,2.90860000,2.99690000,6980771.83000000,6980771.83000000
2.84500000,3.01260000,2.82010000,3.00790000,8528184.62000000,8528184.62000000
3.08040000,3.14820000,2.79770000,2.84560000,16212208.28000000,16212208.28000000
3.05630000,3.13460000,3.00930000,3.08030000,10269216.60000000,10269216.60000000
2.99420000,3.08630000,2.95900000,3.05650000,11397214.15000000,11397214.15000000
3.25990000,3.34000000,2.92060000,2.99420000,27621880.93000000,27621880.93000000
3.03210000,3.28200000,2.99520000,3.26150000,25341850.19000000,25341850.19000000
2.99760000,3.09860000,2.90350000,3.03110000,16498728.74000000,16498728.74000000
2.87340000,3.07310000,2.82020000,2.99820000,19030456.76000000,19030456.76000000
2.95240000,3.03000000,2.75320000,2.87340000,24009942.96000000,24009942.96000000
3.42480000,3.53200000,2.70530000,2.95220000,58593382.07000000,58593382.07000000
3.59900000,3.88020000,3.30370000,3.42470000,42122344.92000000,42122344.92000000
3.37800000,3.77610000,3.32850000,3.59870000,49169188.39000000,49169188.39000000
3.06370000,3.40000000,2.99470000,3.37890000,42578449.47000000,42578449.47000000
3.23190000,3.30510000,2.89610000,3.06330000,40566393.08000000,40566393.08000000
2.78020000,3.25860000,2.68810000,3.23060000,48331723.32000000,48331723.32000000
2.63580000,2.82860000,2.63330000,2.77980000,18542539.88000000,18542539.88000000
2.63820000,2.70000000,2.55940000,2.63630000,10989620.24000000,10989620.24000000
2.71570000,2.73230000,2.44760000,2.63710000,19787146.16000000,19787146.16000000
2.58260000,2.75590000,2.57520000,2.71620000,17182505.30000000,17182505.30000000
2.49610000,2.60560000,2.48560000,2.58300000,8258090.17000000,8258090.17000000
2.53590000,2.54760000,2.46910000,2.49610000,5833997.73000000,5833997.73000000
2.59850000,2.61080000,2.49610000,2.53590000,6908392.65000000,6908392.65000000
2.46240000,2.64000000,2.45530000,2.59820000,10104959.94000000,10104959.94000000
2.49810000,2.50410000,2.43200000,2.46320000,6988557.27000000,6988557.27000000
2.49800000,2.53920000,2.49190000,2.49820000,4874289.08000000,4874289.08000000
2.49750000,2.52820000,2.47600000,2.49800000,5413255.43000000,5413255.43000000
2.53560000,2.55880000,2.45720000,2.49750000,6274076.91000000,6274076.91000000
2.49710000,2.56300000,2.48270000,2.53610000,5149937.99000000,5149937.99000000
2.53480000,2.62620000,2.44630000,2.49710000,13337578.26000000,13337578.26000000
2.44670000,2.54500000,2.43780000,2.53490000,12903400.78000000,12903400.78000000
2.35060000,2.48910000,2.34950000,2.44640000,12180086.72000000,12180086.72000000
2.36520000,2.37520000,2.29000000,2.35060000,7808043.06000000,7808043.06000000
2.43320000,2.44320000,2.22590000,2.36550000,13815918.08000000,13815918.08000000
2.51860000,2.55030000,2.40910000,2.43300000,8610468.71000000,8610468.71000000
2.52790000,2.54060000,2.45480000,2.51850000,4276592.54000000,4276592.54000000
2.50710000,2.56650000,2.49390000,2.52800000,5946231.53000000,5946231.53000000
2.63860000,2.64690000,2.40350000,2.50680000,13459280.97000000,13459280.97000000
2.65200000,2.67980000,2.60110000,2.63870000,6578696.29000000,6578696.29000000
2.67350000,2.75410000,2.62100000,2.65240000,11763103.37000000,11763103.37000000
