open,high,low,close,5. volume,market cap
0.29910000,0.29970000,0.29580000,0.29840000,338086.30000000,338086.30000000
0.31860000,0.32350000,0.29500000,0.29910000,13435530.43000000,13435530.43000000
0.33870000,0.33900000,0.30420000,0.31860000,18094180.18000000,18094180.18000000
0.34120000,0.34610000,0.32560000,0.33830000,7756467.93000000,7756467.93000000
0.32150000,0.35220000,0.31820000,0.34150000,10099398.86000000,10099398.86000000
0.34850000,0.35130000,0.31690000,0.32200000,12207609.49000000,12207609.49000000
0.34490000,0.35730000,0.32520000,0.34890000,12052439.04000000,12052439.04000000
0.32620000,0.34640000,0.31830000,0.34450000,13715402.99000000,13715402.99000000
0.35240000,0.36080000,0.31500000,0.32630000,27933639.73000000,27933639.73000000
0.34380000,0.36610000,0.33350000,0.35230000,24870472.46000000,24870472.46000000
0.33930000,0.35900000,0.32700000,0.34350000,19019276.56000000,19019276.56000000
0.31320000,0.35220000,0.30210000,0.33970000,21815576.14000000,21815576.14000000
0.30450000,0.32450000,0.29000000,0.31260000,23205513.90000000,23205513.90000000
0.35480000,0.36110000,0.27500000,0.30460000,55631609.91000000,55631609.91000000
0.38410000,0.41000000,0.33530000,0.35520000,42764533.13000000,42764533.13000000
0.36140000,0.42600000,0.34560000,0.38450000,64166272.74000000,64166272.74000000
0.31910000,0.36540000,0.31280000,0.36120000,44425909.74000000,44425909.74000000
0.32670000,0.34060000,0.28720000,0.31960000,44208531.44000000,44208531.44000000
0.26600000,0.32670000,0.26590000,0.32670000,41814280.12000000,41814280.12000000
0.25360000,0.26640000,0.25130000,0.26600000,13304035.60000000,13304035.60000000
0.25710000,0.25810000,0.25000000,0.25360000,7860401.59000000,7860401.59000000
0.26570000,0.27120000,0.24750000,0.25720000,13028260.49000000,13028260.49000000
0.25310000,0.26790000,0.25270000,0.26580000,11091059.40000000,11091059.40000000
0.25030000,0.25780000,0.24800000,0.25320000,7806691.66000000,7806691.66000000
0.25150000,0.25850000,0.24500000,0.25030000,5846341.93000000,5846341.93000000
0.25690000,0.25900000,0.24660000,0.25150000,6067112.54000000,6067112.54000000
0.24850000,0.25780000,0.24590000,0.25660000,6939078.22000000,6939078.22000000
0.25090000,0.25910000,0.24720000,0.24840000,8489895.14000000,8489895.14000000
0.25440000,0.26080000,0.25070000,0.25130000,8245984.04000000,8245984.04000000
0.25140000,0.25820000,0.24860000,0.25440000,7723373.18000000,7723373.18000000
0.26580000,0.26860000,0.24470000,0.25140000,19990453.57000000,19990453.57000000
0.25740000,0.26860000,0.25300000,0.26620000,7052188.61000000,7052188.61000000
0.26770000,0.27880000,0.25080000,0.25730000,16389682.82000000,16389682.82000000
0.24940000,0.26970000,0.24860000,0.26740000,14383435.11000000,14383435.11000000
0.23620000,0.25450000,0.22890000,0.24920000,12659494.11000000,12659494.11000000
0.24560000,0.24710000,0.22550000,0.23590000,11811486.09000000,11811486.09000000
0.24680000,0.24790000,0.23580000,0.24550000,8122599.07000000,8122599.07000000
0.25270000,0.25960000,0.24350000,0.24670000,5791492.03000000,5791492.03000000
0.25370000,0.25630000,0.24830000,0.25270000,5329422.19000000,5329422.19000000
0.25720000,0.26450000,0.25320000,0.25390000,3923881.93000000,3923881.93000000
0.25970000,0.26260000,0.24510000,0.25710000,5824872.98000000,5824872.98000000
0.26920000,0.27410000,0.25400000,0.25950000,6146163.42000000,6146163.42000000
0.27720000,0.27980000,0.26370000,0.26920000,7185882.05000000,7185882.05000000
0.27350000,0.28720000,0.27140000,0.27750000,6465759.89000000,6465759.89000000
0.27860000,0.28620000,0.26600000,0.27380000,6585759.68000000,6585759.68000000
0.28780000,0.29120000,0.27510000,0.27820000,4965668.28000000,4965668.28000000
0.27620000,0.28870000,0.27370000,0.28800000,4472111.05000000,4472111.05000000
0.28250000,0.28290000,0.27080000,0.27610000,5900076.91000000,5900076.91000000
0.28050000,0.29330000,0.28030000,0.28280000,7532540.16000000,7532540.16000000
0.26360000,0.28690000,0.26320000,0.28090000,7297879.89000000,7297879.89000000
0.27690000,0.27730000,0.26230000,0.26350000,4912492.35000000,4912492.35000000
0.27230000,0.28010000,0.26650000,0.27690000,4718570.58000000,4718570.58000000
0.26980000,0.27500000,0.26900000,0.27250000,1667624.82000000,1667624.82000000
0.26390000,0.27300000,0.26030000,0.26950000,2817570.12000000,2817570.12000000
0.27680000,0.28190000,0.26150000,0.26390000,4891493.09000000,4891493.09000000
0.27380000,0.27750000,0.26440000,0.27670000,5440225.12000000,5440225.12000000
0.28420000,0.28810000,0.26870000,0.27340000,6781371.69000000,6781371.69000000
0.28800000,0.29430000,0.28000000,0.28420000,6327415.55000000,6327415.55000000
0.28210000,0.29450000,0.27290000,0.28770000,9090798.82000000,9090798.82000000
0.27250000,0.28670000,0.27090000,0.28230000,7224016.69000000,7224016.69000000
0.27000000,0.30330000,0.26760000,0.27290000,8722918.80000000,8722918.80000000
0.26270000,0.27230000,0.25970000,0.26990000,6175036.82000000,6175036.82000000
0.25740000,0.26320000,0.24530000,0.26260000,5779549.11000000,5779549.11000000
0.25310000,0.25900000,0.24300000,0.25740000,5683331.68000000,5683331.68000000
0.27120000,0.27120000,0.25040000,0.25330000,7535267.54000000,7535267.54000000
0.27460000,0.27900000,0.26740000,0.27120000,4656336.06000000,4656336.06000000
0.26540000,0.27760000,0.26320000,0.27500000,4429198.78000000,4429198.78000000
0.26880000,0.28020000,0.26500000,0.26590000,7829927.60000000,7829927.60000000
0.27180000,0.27900000,0.25190000,0.26880000,13701438.16000000,13701438.16000000
0.28340000,0.28890000,0.26290000,0.27200000,8660426.26000000,8660426.26000000
0.27420000,0.28850000,0.26260000,0.28330000,8537575.52000000,8537575.52000000
0.26830000,0.27940000,0.26200000,0.27410000,7520563.76000000,7520563.76000000
