open,high,low,close,5. volume,market cap
2.82600000,2.83100000,2.68200000,2.74400000,43778.40700000,43778.40700000
3.19100000,3.21400000,2.71900000,2.82600000,231969.21000000,231969.21000000
3.44600000,3.45100000,2.95800000,3.19600000,129110.00000000,129110.00000000
3.28900000,3.63500000,3.26000000,3.45100000,39055.65700000,39055.65700000
3.50900000,3.52700000,3.27700000,3.28900000,43183.06200000,43183.06200000
3.76100000,3.78600000,3.49400000,3.49800000,37962.98500000,37962.98500000
3.80000000,3.84100000,3.75800000,3.77600000,3228.21200000,3228.21200000
4.16300000,4.17100000,3.75200000,3.81000000,18144.99000000,18144.99000000
4.08700000,4.18600000,4.05700000,4.16900000,5870.74500000,5870.74500000
4.24600000,4.27400000,4.08700000,4.08700000,4686.60500000,4686.60500000
4.33600000,4.36500000,4.18600000,4.25700000,6375.98700000,6375.98700000
4.22100000,4.36600000,4.13500000,4.33100000,8599.10200000,8599.10200000
4.24200000,4.32200000,4.00100000,4.22600000,4906.12000000,4906.12000000
4.23700000,4.36400000,4.17100000,4.24200000,5600.65500000,5600.65500000
4.10900000,4.24500000,4.07800000,4.24500000,6012.88800000,6012.88800000
4.04300000,4.14300000,3.96000000,4.12400000,4696.22400000,4696.22400000
4.05100000,4.07100000,3.99600000,4.03900000,2986.48600000,2986.48600000
4.13800000,4.13900000,4.01500000,4.06900000,4569.49500000,4569.49500000
4.16500000,4.18700000,4.11700000,4.13800000,2761.64200000,2761.64200000
4.09400000,4.16500000,4.01500000,4.16400000,4805.78200000,4805.78200000
4.09800000,4.14600000,4.09300000,4.11100000,3229.58500000,3229.58500000
4.15100000,4.15100000,4.01500000,4.09900000,5451.97800000,5451.97800000
4.19700000,4.27400000,4.05900000,4.15100000,6324.48900000,6324.48900000
4.26300000,4.29600000,4.15700000,4.19700000,6597.40600000,6597.40600000
4.17400000,4.30100000,4.16700000,4.26300000,6367.89000000,6367.89000000
4.28500000,4.33300000,4.19000000,4.21200000,5346.30900000,5346.30900000
4.23600000,4.29300000,4.16700000,4.24800000,5795.37900000,5795.37900000
4.33800000,4.35600000,4.17600000,4.23600000,8971.07900000,8971.07900000
4.28500000,4.35400000,4.20300000,4.31700000,8984.01800000,8984.01800000
4.06700000,4.28400000,4.06700000,4.28400000,6996.42500000,6996.42500000
4.29500000,4.29500000,4.04400000,4.06700000,9019.49800000,9019.49800000
4.28000000,4.34800000,4.25900000,4.29500000,6517.82600000,6517.82600000
4.49100000,4.54400000,4.11900000,4.28600000,17098.40800000,17098.40800000
4.60100000,4.60100000,4.39200000,4.48800000,16903.67800000,16903.67800000
4.52800000,4.64900000,4.51000000,4.60000000,10575.98300000,10575.98300000
4.57300000,4.67000000,4.52100000,4.54600000,21330.18900000,21330.18900000
4.65000000,4.69800000,4.49100000,4.57000000,8342.25800000,8342.25800000
4.63800000,4.72200000,4.57700000,4.65000000,10048.23000000,10048.23000000
4.65600000,4.80000000,4.56000000,4.63900000,23028.31300000,23028.31300000
4.41300000,4.68000000,4.36500000,4.65600000,53648.79500000,53648.79500000
4.50900000,4.55100000,4.34700000,4.41300000,15436.57000000,15436.57000000
4.42300000,4.51700000,4.37800000,4.51000000,35960.38700000,35960.38700000
4.18500000,4.58500000,4.08900000,4.43900000,97555.67600000,97555.67600000
4.16500000,4.24100000,4.12100000,4.16300000,29817.95500000,29817.95500000
4.09600000,4.22300000,4.04500000,4.16400000,11283.04700000,11283.04700000
4.18700000,4.19300000,3.94800000,4.09600000,19592.09700000,19592.09700000
4.25600000,4.28900000,3.95100000,4.16700000,22535.95300000,22535.95300000
4.13300000,4.30000000,4.06000000,4.26900000,39798.52100000,39798.52100000
4.27300000,4.35100000,4.02900000,4.14300000,36671.80900000,36671.80900000
4.12600000,4.43000000,4.08100000,4.26900000,137171.20700000,137171.20700000
5.70500000,5.70500000,4.09100000,4.10900000,422388.38300000,422388.38300000
6.06700000,6.14700000,5.61800000,5.70500000,45609.99900000,45609.99900000
5.88300000,6.12300000,5.78200000,6.05000000,96490.82100000,96490.82100000
5.86900000,6.01000000,5.83100000,5.88300000,89086.22400000,89086.22400000
5.73100000,5.89100000,5.70600000,5.86900000,57191.41500000,57191.41500000
5.69400000,5.75400000,5.65000000,5.72700000,34663.98100000,34663.98100000
5.56900000,5.71900000,5.54800000,5.69400000,34984.69000000,34984.69000000
5.58300000,5.69900000,5.48800000,5.56100000,35966.75700000,35966.75700000
5.55400000,5.64600000,5.51600000,5.59500000,24626.61200000,24626.61200000
5.76400000,5.85500000,5.46300000,5.55400000,47079.93000000,47079.93000000
5.61300000,5.89000000,5.57600000,5.76400000,43746.06600000,43746.06600000
5.59000000,5.82700000,5.51000000,5.61300000,61281.98600000,61281.98600000
5.57800000,5.63100000,5.46800000,5.58800000,38435.72800000,38435.72800000
5.52000000,5.89800000,5.44700000,5.55400000,147101.17800000,147101.17800000
5.38100000,5.52000000,5.35900000,5.49900000,21972.74200000,21972.74200000
5.51600000,5.54100000,5.29000000,5.37800000,58563.36100000,58563.36100000
5.69300000,5.74300000,5.49700000,5.53700000,42404.13700000,42404.13700000
5.55800000,5.75000000,5.49700000,5.68800000,60975.04900000,60975.04900000
5.53000000,5.56500000,5.45200000,5.54400000,34441.01000000,34441.01000000
5.41600000,5.55300000,5.41600000,5.54000000,44022.65200000,44022.65200000
5.37400000,5.45700000,5.31200000,5.41600000,38334.81900000,38334.81900000
5.30300000,5.39400000,5.19100000,5.37400000,36230.25300000,36230.25300000
5.29800000,5.37100000,5.22500000,5.30500000,25105.62500000,25105.62500000
5.54400000,5.59600000,5.19900000,5.31400000,69502.07900000,69502.07900000
5.48800000,5.72000000,5.45800000,5.55800000,107473.42600000,107473.42600000
5.50000000,5.54100000,5.43800000,5.49000000,76349.91500000,76349.91500000
5.30200000,5.51000000,5.27300000,5.50000000,109985.34900000,109985.34900000
5.32200000,5.42200000,5.19900000,5.30200000,94022.44200000,94022.44200000
5.32900000,5.43600000,5.28000000,5.34100000,113719.77700000,113719.77700000
5.09600000,5.38500000,4.95300000,5.32900000,285889.10100000,285889.10100000
5.46900000,6.10000000,5.02600000,5.10000000,726237.59100000,726237.59100000
3.98300000,6.00200000,3.95900000,5.44700000,2019965.43700000,2019965.43700000
4.12800000,4.23600000,3.91000000,3.98300000,205230.38300000,205230.38300000
4.07300000,4.14100000,4.04600000,4.13300000,131552.77000000,131552.77000000
4.10100000,4.13500000,4.04500000,4.07300000,89426.70400000,89426.70400000
4.12500000,4.18800000,4.09800000,4.09800000,87681.53800000,87681.53800000
4.14400000,4.17500000,4.10000000,4.13800000,102467.09500000,102467.09500000
4.12200000,4.33000000,4.05400000,4.14400000,168131.22100000,168131.22100000
3.97300000,5.93000000,3.92100000,4.11400000,360082.05500000,360082.05500000
4.02800000,4.08300000,3.90800000,3.97300000,81298.67900000,81298.67900000
4.02500000,4.08300000,4.00100000,4.01100000,84548.36500000,84548.36500000
4.06500000,4.08300000,4.00000000,4.00900000,87098.43300000,87098.43300000
4.05800000,4.11400000,4.03000000,4.06600000,90770.75000000,90770.75000000
4.11600000,4.15000000,4.01100000,4.05600000,150007.11600000,150007.11600000
4.12600000,4.65300000,4.05600000,4.12000000,463031.39900000,463031.39900000
4.09800000,4.17000000,4.08000000,4.14200000,93724.54100000,93724.54100000
4.15200000,4.17400000,4.07000000,4.09800000,54894.01400000,54894.01400000
4.13000000,4.17500000,4.03200000,4.14900000,70399.79700000,70399.79700000
4.01900000,4.15300000,3.98000000,4.11900000,62048.13600000,62048.13600000
4.10800000,4.14900000,3.96100000,4.01500000,56801.02200000,56801.02200000
4.11800000,4.20000000,4.08000000,4.10900000,80673.18100000,80673.18100000
4.17500000,4.20400000,4.08400000,4.11800000,62328.83400000,62328.83400000
4.23500000,4.28000000,4.17000000,4.17900000,86559.50800000,86559.50800000
4.25900000,4.27900000,4.18700000,4.22800000,42823.78500000,42823.78500000
4.21900000,4.25400000,4.17400000,4.23600000,47600.40600000,47600.40600000
4.25800000,4.25900000,4.15000000,4.21900000,63166.10600000,63166.10600000
4.31900000,4.37500000,4.16400000,4.25800000,70214.44100000,70214.44100000
4.17900000,4.39700000,4.15200000,4.32500000,126390.76100000,126390.76100000
4.23500000,4.24500000,4.13100000,4.17900000,46093.80000000,46093.80000000
4.15300000,4.24400000,4.13700000,4.21900000,48751.25500000,48751.25500000
4.28400000,4.28600000,4.08900000,4.16900000,46515.05900000,46515.05900000
4.36100000,4.45500000,4.23300000,4.27000000,49012.76600000,49012.76600000
4.35000000,4.48200000,4.30900000,4.38400000,71583.58300000,71583.58300000
4.29600000,4.63500000,4.15000000,4.35000000,113078.12200000,113078.12200000
4.29700000,4.36200000,4.23300000,4.30600000,46879.77000000,46879.77000000
4.27600000,4.45000000,4.18700000,4.29700000,105064.49400000,105064.49400000
4.09300000,4.38500000,4.05200000,4.27200000,131481.89100000,131481.89100000
4.13200000,4.14200000,4.00600000,4.10300000,38647.73400000,38647.73400000
4.08700000,4.22000000,3.90000000,4.14100000,121137.37900000,121137.37900000
4.37800000,4.45400000,4.00000000,4.07500000,195356.80200000,195356.80200000
4.55400000,4.69500000,4.36900000,4.40400000,89583.74000000,89583.74000000
4.75200000,4.80900000,4.51100000,4.55400000,59697.50900000,59697.50900000
4.91000000,4.91000000,4.75000000,4.77300000,47073.88700000,47073.88700000
4.90500000,4.95700000,4.80000000,4.90900000,45318.62100000,45318.62100000
4.91000000,4.94600000,4.83400000,4.88500000,30749.06300000,30749.06300000
4.83800000,4.93500000,4.67000000,4.91000000,43928.57000000,43928.57000000
4.74600000,4.92100000,4.64600000,4.82100000,49285.19500000,49285.19500000
4.87400000,4.91900000,4.69700000,4.75700000,37303.08500000,37303.08500000
4.94500000,4.94900000,4.77400000,4.87400000,30342.99300000,30342.99300000
4.90400000,4.98100000,4.87800000,4.94500000,30541.55400000,30541.55400000
5.06300000,5.10000000,4.75000000,4.90100000,51720.10500000,51720.10500000
5.16700000,5.17700000,5.02900000,5.08600000,25247.82200000,25247.82200000
5.11700000,5.19000000,5.10300000,5.16700000,24425.02700000,24425.02700000
4.90000000,5.28400000,4.86100000,5.11700000,55307.35200000,55307.35200000
5.36400000,5.41000000,4.90000000,4.90000000,112272.52800000,112272.52800000
