open,high,low,close,5. volume,market cap
0.00010000,0.00010000,0.00010000,0.00010000,1224.00000000,1224.00000000
1.79630000,1.86200000,1.79090000,1.83190000,578711.51000000,578711.51000000
1.86390000,1.91000000,1.75680000,1.79550000,3106011.12000000,3106011.12000000
1.68600000,1.90260000,1.65510000,1.86500000,5353100.58000000,5353100.58000000
1.80320000,1.80810000,1.56330000,1.67950000,6161440.06000000,6161440.06000000
1.91200000,1.96560000,1.77770000,1.80320000,4337420.66000000,4337420.66000000
1.99000000,2.08340000,1.82000000,1.91690000,5893367.96000000,5893367.96000000
1.92550000,2.09000000,1.79900000,1.99380000,5428231.55000000,5428231.55000000
1.92120000,1.96060000,1.60000000,1.92200000,8466204.91000000,8466204.91000000
1.88610000,1.97090000,1.81960000,1.91930000,3201906.97000000,3201906.97000000
2.08880000,2.10300000,1.78000000,1.88020000,3305703.16000000,3305703.16000000
2.08590000,2.15000000,2.04040000,2.08970000,1633496.44000000,1633496.44000000
2.21990000,2.22740000,2.02850000,2.08960000,1815729.51000000,1815729.51000000
2.21400000,2.28170000,2.10300000,2.20890000,1734265.23000000,1734265.23000000
2.42370000,2.43990000,2.20000000,2.21400000,2003541.80000000,2003541.80000000
2.50700000,2.54000000,2.41850000,2.42370000,1736762.38000000,1736762.38000000
2.52670000,2.60970000,2.50040000,2.50150000,1508000.63000000,1508000.63000000
2.52850000,2.54000000,2.39500000,2.52670000,1422827.18000000,1422827.18000000
2.50640000,2.57840000,2.38000000,2.51720000,1545613.38000000,1545613.38000000
2.64090000,2.71450000,2.43000000,2.50640000,1804103.02000000,1804103.02000000
2.64040000,2.79000000,2.60100000,2.64590000,1523047.59000000,1523047.59000000
2.75750000,2.88220000,2.60100000,2.64040000,2712194.39000000,2712194.39000000
2.56620000,2.81000000,2.50240000,2.75330000,2515960.94000000,2515960.94000000
2.59570000,2.65460000,2.47000000,2.55780000,2206891.96000000,2206891.96000000
2.56960000,2.73010000,2.55300000,2.59110000,2295403.05000000,2295403.05000000
2.36540000,2.65530000,2.33740000,2.56050000,2102084.83000000,2102084.83000000
2.63020000,2.66860000,2.29900000,2.36190000,1977290.62000000,1977290.62000000
2.49120000,2.67000000,2.44010000,2.63020000,1877480.24000000,1877480.24000000
2.72730000,2.76000000,2.48410000,2.50440000,1394247.60000000,1394247.60000000
2.44030000,2.76600000,2.44020000,2.72730000,2545400.42000000,2545400.42000000
2.78770000,2.82000000,2.21850000,2.44090000,3095295.50000000,3095295.50000000
2.74090000,2.87710000,2.68800000,2.78760000,1778679.61000000,1778679.61000000
3.14980000,3.14990000,2.40000000,2.74120000,1567922.02000000,1567922.02000000
