open,high,low,close,5. volume,market cap
3.58800000,3.60300000,3.55200000,3.58800000,2896.65500000,2896.65500000
3.84300000,3.87800000,3.58800000,3.58800000,82788.53100000,82788.53100000
3.97000000,4.09300000,3.82000000,3.84900000,78726.11600000,78726.11600000
4.18400000,4.23400000,3.91900000,3.96300000,67267.23300000,67267.23300000
4.04100000,4.20100000,3.98000000,4.20000000,49822.56400000,49822.56400000
4.25900000,4.34600000,4.01500000,4.04100000,69992.48100000,69992.48100000
4.11500000,4.60000000,4.09300000,4.26200000,174301.49400000,174301.49400000
4.11900000,4.26500000,4.05000000,4.11500000,56140.42000000,56140.42000000
4.33000000,4.60000000,3.92500000,4.11200000,176558.48300000,176558.48300000
4.44300000,4.66500000,4.03000000,4.33000000,303196.12500000,303196.12500000
4.31700000,4.70100000,4.24000000,4.45900000,208126.03100000,208126.03100000
3.88900000,4.86000000,3.88900000,4.31700000,595984.53300000,595984.53300000
3.70200000,4.04900000,3.60000000,3.87200000,133644.82900000,133644.82900000
4.23600000,4.39900000,3.42400000,3.70200000,297597.77600000,297597.77600000
4.67500000,4.91300000,4.14400000,4.23600000,283790.48400000,283790.48400000
4.08400000,4.97000000,3.84000000,4.67600000,420209.00800000,420209.00800000
3.43000000,4.36000000,3.38500000,4.09900000,346277.10500000,346277.10500000
3.65700000,3.71800000,3.30000000,3.43100000,122016.20700000,122016.20700000
3.25900000,3.70000000,3.24200000,3.66100000,131282.77500000,131282.77500000
3.11400000,3.32000000,3.08600000,3.25900000,65843.34900000,65843.34900000
3.17300000,3.19100000,3.02400000,3.11000000,48872.60200000,48872.60200000
3.33700000,3.34300000,3.02100000,3.17200000,123973.81500000,123973.81500000
3.25300000,3.39100000,3.25300000,3.33700000,85133.48900000,85133.48900000
3.26900000,3.30000000,3.16900000,3.25200000,77764.94400000,77764.94400000
3.29200000,3.42700000,3.20000000,3.26800000,82678.17900000,82678.17900000
3.22000000,3.30800000,3.08000000,3.29200000,68027.93200000,68027.93200000
3.17900000,3.27100000,3.16600000,3.22000000,34128.65500000,34128.65500000
3.27700000,3.32900000,3.14700000,3.17900000,57436.55000000,57436.55000000
3.30000000,3.48900000,3.26600000,3.28400000,89433.73600000,89433.73600000
3.30200000,3.35000000,3.18400000,3.30100000,54121.94200000,54121.94200000
3.28400000,3.38800000,3.14200000,3.30200000,64196.83900000,64196.83900000
3.28400000,3.35700000,3.21200000,3.28500000,38937.64700000,38937.64700000
3.29200000,3.64700000,3.17900000,3.27700000,167095.98100000,167095.98100000
2.99700000,3.29900000,2.97000000,3.28000000,78659.00100000,78659.00100000
2.84800000,3.01100000,2.77200000,2.99800000,74752.33800000,74752.33800000
2.78500000,2.88800000,2.70400000,2.83200000,53335.42800000,53335.42800000
3.04800000,3.06600000,2.75000000,2.79000000,111800.69500000,111800.69500000
3.06100000,3.38700000,3.00000000,3.04800000,159147.03000000,159147.03000000
3.02500000,3.13500000,3.00000000,3.06000000,33213.41700000,33213.41700000
3.22200000,3.31000000,3.01000000,3.02500000,44386.52200000,44386.52200000
3.39500000,3.43200000,3.00000000,3.22300000,123507.68100000,123507.68100000
3.52400000,3.61700000,3.35100000,3.41500000,46927.23100000,46927.23100000
3.78900000,3.85000000,3.50000000,3.53700000,107217.28200000,107217.28200000
3.89900000,4.16400000,3.73200000,3.78200000,173636.17400000,173636.17400000
4.25700000,4.31400000,3.77200000,3.87600000,138422.81900000,138422.81900000
4.11200000,4.60000000,4.08600000,4.24500000,76087.25500000,76087.25500000
4.07300000,4.27800000,4.05300000,4.11200000,57223.42600000,57223.42600000
4.07200000,4.28000000,4.00500000,4.07000000,86147.12700000,86147.12700000
3.77600000,4.13900000,3.77600000,4.04900000,61720.81000000,61720.81000000
3.71700000,4.00000000,3.69700000,3.76900000,55999.37800000,55999.37800000
3.88000000,3.98500000,3.70400000,3.71700000,48810.75500000,48810.75500000
3.97300000,3.97500000,3.82100000,3.88100000,29802.10700000,29802.10700000
3.88800000,4.00000000,3.87300000,3.97400000,22253.51100000,22253.51100000
3.86200000,3.95000000,3.83200000,3.88800000,17138.03300000,17138.03300000
3.99100000,4.03900000,3.74900000,3.88900000,41478.59300000,41478.59300000
4.00800000,4.15900000,3.90700000,4.01800000,45710.01100000,45710.01100000
4.26000000,4.33000000,3.95800000,4.02900000,63498.09000000,63498.09000000
4.27800000,5.16500000,4.17800000,4.26700000,240054.28900000,240054.28900000
4.01000000,4.70000000,3.96500000,4.28300000,223833.45800000,223833.45800000
3.77300000,4.06600000,3.75100000,4.00800000,57855.28400000,57855.28400000
3.75500000,3.84300000,3.70500000,3.78800000,43277.00400000,43277.00400000
3.65900000,3.79900000,3.63000000,3.75500000,24127.42000000,24127.42000000
3.63900000,3.73100000,3.51500000,3.63700000,28642.98000000,28642.98000000
3.68200000,3.68200000,3.47700000,3.63300000,34680.39300000,34680.39300000
3.92900000,3.96600000,3.66100000,3.68100000,29980.34400000,29980.34400000
3.83900000,4.01000000,3.83000000,3.92800000,29283.72400000,29283.72400000
3.77500000,3.84800000,3.76100000,3.82600000,13637.80100000,13637.80100000
3.75600000,3.83400000,3.71200000,3.77500000,15578.29500000,15578.29500000
3.90300000,4.00400000,3.66400000,3.75600000,57396.47700000,57396.47700000
4.02300000,4.20900000,3.77600000,3.91200000,125598.23400000,125598.23400000
