open,high,low,close,5. volume,market cap
3.08290000,3.11830000,3.04180000,3.08860000,23260.23000000,23260.23000000
3.38990000,3.43670000,3.06730000,3.08330000,205231.83000000,205231.83000000
3.46110000,3.49770000,3.30040000,3.38990000,268446.28000000,268446.28000000
3.28000000,3.65000000,3.21190000,3.45830000,386245.10000000,386245.10000000
3.18910000,3.28510000,3.15360000,3.28510000,82502.64000000,82502.64000000
3.37340000,3.44620000,3.15190000,3.19000000,166113.21000000,166113.21000000
3.42960000,3.48140000,3.32570000,3.37000000,137296.58000000,137296.58000000
3.31120000,3.49950000,3.26000000,3.42710000,349868.42000000,349868.42000000
3.42710000,3.65880000,3.09620000,3.31310000,667887.62000000,667887.62000000
3.28820000,3.45990000,3.22320000,3.43320000,249794.02000000,249794.02000000
3.26140000,3.32230000,3.15460000,3.28400000,100288.34000000,100288.34000000
3.14380000,3.37330000,3.11700000,3.26150000,545366.17000000,545366.17000000
3.26390000,3.36630000,3.03000000,3.14380000,317582.13000000,317582.13000000
3.70000000,3.75290000,2.97360000,3.26390000,692677.42000000,692677.42000000
4.04590000,4.10880000,3.58050000,3.70010000,375383.25000000,375383.25000000
4.15830000,4.31280000,3.93240000,4.03470000,489281.97000000,489281.97000000
3.90900000,4.58000000,3.86990000,4.15840000,590777.59000000,590777.59000000
3.48790000,4.28560000,3.48660000,3.90900000,1326010.28000000,1326010.28000000
3.13340000,3.50380000,3.13340000,3.48660000,372613.68000000,372613.68000000
3.07040000,3.25000000,3.07040000,3.13010000,171206.23000000,171206.23000000
3.18010000,3.18790000,3.00200000,3.06890000,184343.26000000,184343.26000000
3.33000000,3.60000000,2.99130000,3.18590000,650004.97000000,650004.97000000
3.27630000,3.40020000,3.15010000,3.33150000,341418.80000000,341418.80000000
3.22410000,3.32000000,3.18800000,3.27630000,144434.36000000,144434.36000000
3.30610000,3.37840000,3.16550000,3.23410000,128881.83000000,128881.83000000
3.49380000,3.49390000,3.21590000,3.30610000,105829.04000000,105829.04000000
3.21270000,3.61690000,3.19700000,3.50000000,248874.49000000,248874.49000000
