open,high,low,close,5. volume,market cap
5.76910000,5.81480000,5.71870000,5.72080000,104224.49000000,104224.49000000
6.15440000,6.15960000,5.68430000,5.77070000,1666602.77000000,1666602.77000000
6.17370000,6.21000000,6.07150000,6.15250000,1258422.50000000,1258422.50000000
6.19470000,6.25640000,6.02370000,6.17080000,1299736.86000000,1299736.86000000
5.95150000,6.19820000,5.89490000,6.19220000,2085895.35000000,2085895.35000000
6.58910000,6.59200000,5.87890000,5.95150000,3240602.71000000,3240602.71000000
6.23010000,6.60790000,6.17600000,6.58700000,4271683.49000000,4271683.49000000
6.14200000,6.38060000,6.03690000,6.23760000,3198762.18000000,3198762.18000000
6.74280000,7.00000000,5.98690000,6.14660000,6992281.84000000,6992281.84000000
6.39770000,6.80010000,6.30320000,6.74580000,4835013.78000000,4835013.78000000
6.32560000,6.46960000,6.11680000,6.39260000,2215445.24000000,2215445.24000000
6.21300000,6.47990000,6.07550000,6.32680000,3228537.87000000,3228537.87000000
6.13550000,6.46200000,5.91310000,6.21150000,4721442.65000000,4721442.65000000
6.95010000,7.17300000,5.58760000,6.14040000,13280824.05000000,13280824.05000000
7.27740000,7.97000000,6.60000000,6.95000000,11952572.10000000,11952572.10000000
6.56830000,7.41970000,6.44040000,7.27670000,11449865.90000000,11449865.90000000
6.03160000,6.61540000,5.93950000,6.56850000,6661682.11000000,6661682.11000000
6.58960000,6.74060000,5.65720000,6.03160000,6754002.52000000,6754002.52000000
6.06380000,6.59890000,5.77040000,6.58530000,8099249.16000000,8099249.16000000
5.91790000,6.08510000,5.78120000,6.06350000,6110167.02000000,6110167.02000000
6.04390000,6.14400000,5.72010000,5.91880000,6293910.45000000,6293910.45000000
5.77540000,6.36000000,5.21950000,6.04310000,12189597.53000000,12189597.53000000
5.39470000,5.97680000,5.37660000,5.77510000,4325240.56000000,4325240.56000000
5.02270000,5.48660000,4.98340000,5.39500000,2403471.02000000,2403471.02000000
5.03330000,5.05930000,4.93520000,5.02410000,915033.71000000,915033.71000000
5.13470000,5.17530000,4.97360000,5.03330000,945573.68000000,945573.68000000
5.04520000,5.15470000,4.98800000,5.13440000,1370638.32000000,1370638.32000000
5.08870000,5.11480000,4.96830000,5.04480000,1094616.65000000,1094616.65000000
5.13450000,5.20910000,5.06490000,5.09170000,1018879.78000000,1018879.78000000
5.02910000,5.19980000,5.00000000,5.13240000,1299155.10000000,1299155.10000000
5.17780000,5.21860000,4.89100000,5.02830000,1608957.42000000,1608957.42000000
