open,high,low,close,5. volume,market cap
0.00554700,0.00660000,0.00554000,0.00595500,831325802.00000000,831325802.00000000
0.00593900,0.00599400,0.00546900,0.00554600,419771989.00000000,419771989.00000000
0.00603100,0.00603700,0.00583600,0.00593400,426627713.00000000,426627713.00000000
0.00617900,0.00640300,0.00593500,0.00602700,939938093.00000000,939938093.00000000
0.00600300,0.00619100,0.00590100,0.00617400,269600660.00000000,269600660.00000000
0.00624400,0.00652900,0.00591700,0.00600900,895924399.00000000,895924399.00000000
0.00633400,0.00638700,0.00620000,0.00624400,361770532.00000000,361770532.00000000
0.00605900,0.00646900,0.00593900,0.00634000,814863068.00000000,814863068.00000000
0.00620700,0.00637100,0.00561100,0.00605900,919580508.00000000,919580508.00000000
0.00600000,0.00628000,0.00591000,0.00620700,646694433.00000000,646694433.00000000
0.00588500,0.00616500,0.00572200,0.00600200,625050949.00000000,625050949.00000000
0.00557300,0.00596900,0.00551400,0.00588100,618702705.00000000,618702705.00000000
0.00561100,0.00580000,0.00527900,0.00557600,572756309.00000000,572756309.00000000
0.00626300,0.00639700,0.00490000,0.00561200,2056945813.00000000,2056945813.00000000
0.00636800,0.00695800,0.00593000,0.00627300,2286684009.00000000,2286684009.00000000
0.00558700,0.00651400,0.00534000,0.00637000,2828061834.00000000,2828061834.00000000
0.00523800,0.00559200,0.00511300,0.00558600,1027188047.00000000,1027188047.00000000
0.00535800,0.00542200,0.00489200,0.00523200,1089801338.00000000,1089801338.00000000
0.00481800,0.00537900,0.00480000,0.00535600,1000372348.00000000,1000372348.00000000
0.00470200,0.00490000,0.00468700,0.00481700,487903813.00000000,487903813.00000000
0.00463400,0.00472000,0.00449400,0.00469400,430639860.00000000,430639860.00000000
0.00481100,0.00484900,0.00440000,0.00463800,818022530.00000000,818022530.00000000
0.00486100,0.00497000,0.00469200,0.00481600,1030551532.00000000,1030551532.00000000
0.00482800,0.00496500,0.00477100,0.00485200,393943886.00000000,393943886.00000000
0.00486700,0.00491600,0.00470200,0.00483000,340389113.00000000,340389113.00000000
0.00513400,0.00515000,0.00478600,0.00486100,457337204.00000000,457337204.00000000
0.00502100,0.00520200,0.00501200,0.00513700,347487861.00000000,347487861.00000000
0.00514500,0.00535000,0.00500800,0.00501900,597201465.00000000,597201465.00000000
0.00519200,0.00528600,0.00511000,0.00514700,473055234.00000000,473055234.00000000
0.00493000,0.00522700,0.00489000,0.00518300,377570255.00000000,377570255.00000000
0.00508400,0.00513300,0.00477600,0.00492200,415075648.00000000,415075648.00000000
0.00460600,0.00510100,0.00454400,0.00508100,503639890.00000000,503639890.00000000
0.00504700,0.00529800,0.00380000,0.00460500,1091098361.00000000,1091098361.00000000
0.00458200,0.00508000,0.00456000,0.00504900,806581785.00000000,806581785.00000000
0.00431800,0.00461000,0.00430700,0.00458300,731324169.00000000,731324169.00000000
0.00440600,0.00452500,0.00408500,0.00430900,889821779.00000000,889821779.00000000
0.00464600,0.00467600,0.00434800,0.00440500,688002731.00000000,688002731.00000000
0.00498300,0.00503600,0.00450000,0.00464500,429762048.00000000,429762048.00000000
0.00485100,0.00526100,0.00483200,0.00498400,769687092.00000000,769687092.00000000
0.00489200,0.00496500,0.00484500,0.00485500,389853549.00000000,389853549.00000000
0.00491700,0.00517000,0.00463700,0.00489100,762392860.00000000,762392860.00000000
0.00497500,0.00550000,0.00487900,0.00492100,1174271435.00000000,1174271435.00000000
0.00527200,0.00529800,0.00491100,0.00497500,821728363.00000000,821728363.00000000
0.00524900,0.00541100,0.00513800,0.00527400,1955691856.00000000,1955691856.00000000
0.00539000,0.00545500,0.00507600,0.00525100,1174402939.00000000,1174402939.00000000
0.00548200,0.00551900,0.00531900,0.00539000,328139193.00000000,328139193.00000000
0.00550500,0.00564000,0.00535900,0.00548100,823548815.00000000,823548815.00000000
0.00558300,0.00563300,0.00538700,0.00550700,715376887.00000000,715376887.00000000
0.00551100,0.00572500,0.00545000,0.00558000,574827998.00000000,574827998.00000000
0.00513000,0.00560000,0.00511600,0.00551100,636013105.00000000,636013105.00000000
0.00557700,0.00558400,0.00509700,0.00513100,910699420.00000000,910699420.00000000
0.00554600,0.00562700,0.00548500,0.00557600,393667697.00000000,393667697.00000000
0.00551900,0.00557400,0.00549200,0.00554300,462005569.00000000,462005569.00000000
0.00545900,0.00558500,0.00540600,0.00552000,474522399.00000000,474522399.00000000
0.00578400,0.00580000,0.00544300,0.00545900,1060877009.00000000,1060877009.00000000
0.00578100,0.00598000,0.00556500,0.00578000,1229452263.00000000,1229452263.00000000
0.00602900,0.00609600,0.00565200,0.00578200,1390763396.00000000,1390763396.00000000
0.00588100,0.00619300,0.00580800,0.00602600,1549443093.00000000,1549443093.00000000
0.00594400,0.00603700,0.00573400,0.00588300,541955344.00000000,541955344.00000000
0.00576600,0.00602400,0.00570500,0.00594500,858338594.00000000,858338594.00000000
0.00580000,0.00594200,0.00572600,0.00576900,890185820.00000000,890185820.00000000
0.00546000,0.00585900,0.00536900,0.00580000,1229244806.00000000,1229244806.00000000
0.00537300,0.00552000,0.00514000,0.00546400,747865957.00000000,747865957.00000000
0.00528600,0.00539800,0.00512800,0.00537000,791582739.00000000,791582739.00000000
0.00551100,0.00553900,0.00521800,0.00528700,791243943.00000000,791243943.00000000
0.00550100,0.00561800,0.00536600,0.00550900,1009413426.00000000,1009413426.00000000
