open,high,low,close,5. volume,market cap
3.23860000,3.24650000,3.15070000,3.15840000,157678.47000000,157678.47000000
3.58190000,3.59990000,3.16580000,3.23840000,3164564.85000000,3164564.85000000
3.70120000,3.74310000,3.53620000,3.58190000,1959061.93000000,1959061.93000000
3.78210000,3.79400000,3.57340000,3.70100000,1818380.87000000,1818380.87000000
3.52650000,3.82200000,3.47220000,3.78190000,3235966.10000000,3235966.10000000
3.79030000,4.41240000,3.49540000,3.52860000,13833406.61000000,13833406.61000000
3.78850000,3.86130000,3.70060000,3.79030000,1813280.46000000,1813280.46000000
3.65790000,3.87720000,3.58780000,3.79160000,2640278.79000000,2640278.79000000
3.95120000,4.08890000,3.50000000,3.66200000,4450306.94000000,4450306.94000000
3.78100000,4.02340000,3.70250000,3.95280000,4149899.02000000,4149899.02000000
3.77930000,3.86590000,3.60610000,3.77980000,2525293.49000000,2525293.49000000
3.61590000,3.97000000,3.48060000,3.77900000,4149978.37000000,4149978.37000000
3.71110000,3.84430000,3.33240000,3.60880000,4615468.50000000,4615468.50000000
4.42480000,4.69900000,3.22910000,3.70360000,11855496.02000000,11855496.02000000
4.35910000,5.18450000,4.14400000,4.42690000,11932690.49000000,11932690.49000000
4.23090000,4.67000000,3.98000000,4.36460000,8238922.12000000,8238922.12000000
3.90180000,4.24620000,3.80000000,4.23090000,5277438.89000000,5277438.89000000
4.25590000,4.27760000,3.60000000,3.90190000,6374237.66000000,6374237.66000000
3.53160000,4.35700000,3.52980000,4.25300000,10181794.65000000,10181794.65000000
3.27360000,3.65210000,3.25180000,3.52940000,4021959.08000000,4021959.08000000
3.33200000,3.35950000,3.20010000,3.27260000,1989727.82000000,1989727.82000000
3.45790000,3.50210000,3.18420000,3.33210000,3011133.28000000,3011133.28000000
3.43590000,3.57700000,3.40940000,3.45990000,2035504.89000000,2035504.89000000
3.32340000,3.48670000,3.27310000,3.43690000,1599669.23000000,1599669.23000000
3.42490000,3.49500000,3.23810000,3.32170000,2359576.78000000,2359576.78000000
3.62660000,3.63880000,3.32950000,3.42070000,3177587.72000000,3177587.72000000
3.49100000,3.64810000,3.42970000,3.62800000,2500246.92000000,2500246.92000000
3.50780000,3.81920000,3.35300000,3.49370000,6023120.54000000,6023120.54000000
3.23780000,3.84800000,3.23770000,3.50580000,5737691.54000000,5737691.54000000
3.17940000,3.26050000,3.08820000,3.23820000,1648148.78000000,1648148.78000000
3.18560000,3.24750000,3.02490000,3.17910000,1380017.56000000,1380017.56000000
3.05830000,3.32860000,3.00490000,3.19070000,1435219.87000000,1435219.87000000
3.32260000,3.49720000,2.92560000,3.05920000,3324310.38000000,3324310.38000000
2.88920000,3.37090000,2.88030000,3.32200000,2288899.28000000,2288899.28000000
2.76640000,2.97610000,2.68100000,2.89140000,2363300.27000000,2363300.27000000
2.90300000,3.00280000,2.62480000,2.76760000,1780900.31000000,1780900.31000000
2.99860000,2.99860000,2.80400000,2.90120000,1075347.57000000,1075347.57000000
3.13510000,3.18610000,2.95580000,2.99740000,916520.19000000,916520.19000000
