open,high,low,close,5. volume,market cap
4.66700000,4.68700000,4.53700000,4.63600000,124446.36600000,124446.36600000
5.20000000,5.49300000,4.53400000,4.67100000,2004257.70400000,2004257.70400000
5.15300000,5.34500000,5.02500000,5.20000000,858648.59500000,858648.59500000
5.21400000,5.37900000,4.94100000,5.15200000,882850.78000000,882850.78000000
4.95000000,5.36000000,4.76700000,5.21800000,1388279.25100000,1388279.25100000
5.23800000,5.35900000,4.82800000,4.95100000,1621681.58800000,1621681.58800000
5.26600000,5.30000000,5.01300000,5.23800000,837082.05400000,837082.05400000
4.74500000,5.48300000,4.67900000,5.26500000,1403573.07300000,1403573.07300000
4.75300000,5.26800000,4.53100000,4.74400000,1470103.45800000,1470103.45800000
4.56200000,4.95000000,4.56200000,4.74000000,1324477.79100000,1324477.79100000
4.26400000,4.57200000,4.11900000,4.55100000,839995.99700000,839995.99700000
4.12700000,4.44800000,4.00000000,4.26400000,840083.31800000,840083.31800000
4.33600000,4.59900000,3.90400000,4.12400000,1506551.42500000,1506551.42500000
4.82400000,4.84900000,3.38500000,4.33400000,4172683.02200000,4172683.02200000
5.23900000,5.36200000,4.56500000,4.82300000,1239580.38900000,1239580.38900000
5.45100000,5.83000000,5.10000000,5.23900000,1353258.65500000,1353258.65500000
5.00300000,5.56000000,4.94200000,5.45200000,1129884.16000000,1129884.16000000
5.25400000,5.34000000,4.61700000,5.00200000,1494824.27000000,1494824.27000000
5.13700000,5.58900000,5.06900000,5.25500000,1081983.35200000,1081983.35200000
4.99000000,5.70000000,4.78500000,5.13000000,1980266.00600000,1980266.00600000
4.87200000,5.26500000,4.56000000,4.99200000,1514198.08900000,1514198.08900000
5.08100000,5.19000000,4.46400000,4.87500000,1667268.97200000,1667268.97200000
4.42600000,5.42300000,4.41500000,5.07400000,2305541.75300000,2305541.75300000
4.13700000,4.57000000,4.06500000,4.42300000,1212076.16000000,1212076.16000000
4.31300000,4.57900000,3.95600000,4.12500000,1930288.30100000,1930288.30100000
4.22200000,4.50000000,3.86000000,4.31000000,1523228.75800000,1523228.75800000
3.76200000,4.46300000,3.75100000,4.22200000,1844935.77600000,1844935.77600000
3.99700000,4.27100000,3.71200000,3.76200000,1320927.75000000,1320927.75000000
4.67000000,4.77300000,3.98200000,3.99700000,1149973.00200000,1149973.00200000
4.24100000,4.94000000,4.11700000,4.67200000,1528016.36300000,1528016.36300000
4.41100000,4.59800000,3.95600000,4.24300000,1772084.97400000,1772084.97400000
3.76300000,4.55500000,3.70000000,4.40900000,2183652.30400000,2183652.30400000
3.53600000,4.68000000,3.52500000,3.76100000,3145744.42800000,3145744.42800000
3.16300000,3.70000000,3.14700000,3.53500000,2183386.75200000,2183386.75200000
