open,high,low,close,5. volume,market cap
7.79570000,7.82480000,7.46040000,7.58320000,218009.60000000,218009.60000000
8.94400000,9.20000000,7.65000000,7.79440000,2424673.40000000,2424673.40000000
8.43320000,9.32000000,8.13890000,8.94620000,3225603.31000000,3225603.31000000
8.13860000,8.68900000,7.86200000,8.43310000,2396873.88000000,2396873.88000000
7.22700000,8.42560000,7.15970000,8.12890000,2356255.51000000,2356255.51000000
7.38570000,7.87780000,7.07000000,7.22700000,2580780.54000000,2580780.54000000
7.04300000,7.49840000,6.85690000,7.38570000,1486851.82000000,1486851.82000000
6.82010000,7.55790000,6.62800000,7.04930000,1790763.59000000,1790763.59000000
7.08340000,7.10160000,6.20000000,6.82010000,2243481.80000000,2243481.80000000
7.03670000,7.29520000,6.86230000,7.08410000,1526054.05000000,1526054.05000000
6.59070000,7.32870000,6.41280000,7.03310000,2361660.14000000,2361660.14000000
6.45190000,6.84990000,6.27220000,6.59730000,1718893.92000000,1718893.92000000
6.05290000,6.90000000,6.00170000,6.45180000,2702646.47000000,2702646.47000000
6.68230000,6.79000000,5.55900000,6.06060000,4141174.39000000,4141174.39000000
7.54310000,7.69990000,6.00000000,6.70330000,3197964.19000000,3197964.19000000
7.89270000,8.21560000,7.30000000,7.54880000,3157080.54000000,3157080.54000000
7.05900000,8.73000000,7.05900000,7.92070000,5566797.98000000,5566797.98000000
6.22350000,7.75500000,5.74590000,7.06960000,7923040.02000000,7923040.02000000
6.76670000,6.90280000,6.02860000,6.21110000,3420752.27000000,3420752.27000000
5.83530000,7.16640000,5.68750000,6.76530000,6730966.38000000,6730966.38000000
5.17250000,5.98160000,5.03090000,5.84560000,3803701.32000000,3803701.32000000
4.92200000,5.33800000,4.58000000,5.17280000,3229390.65000000,3229390.65000000
4.90300000,5.04670000,4.71000000,4.92430000,1565188.56000000,1565188.56000000
4.36530000,5.32090000,4.34000000,4.90290000,4377464.53000000,4377464.53000000
4.29590000,4.43320000,4.19650000,4.36530000,1588106.38000000,1588106.38000000
4.09210000,4.48490000,4.07060000,4.29020000,2718173.00000000,2718173.00000000
3.89030000,4.13880000,3.88240000,4.09750000,1872991.41000000,1872991.41000000
3.75100000,3.96360000,3.67550000,3.89100000,1821493.11000000,1821493.11000000
3.82700000,3.84620000,3.70810000,3.74670000,1201513.70000000,1201513.70000000
3.79970000,3.95000000,3.70320000,3.82680000,1558275.87000000,1558275.87000000
3.51990000,3.98800000,3.41870000,3.79760000,2504051.22000000,2504051.22000000
3.43800000,3.54000000,3.42590000,3.51860000,1254911.77000000,1254911.77000000
3.56610000,3.75000000,3.36880000,3.44340000,2608122.84000000,2608122.84000000
3.42770000,3.65000000,3.38770000,3.56910000,2316162.76000000,2316162.76000000
3.19800000,3.47000000,3.19160000,3.42770000,1720516.87000000,1720516.87000000
3.14700000,3.21600000,3.08500000,3.19860000,672167.07000000,672167.07000000
3.11110000,3.16890000,3.04170000,3.14770000,742496.48000000,742496.48000000
3.22690000,3.27850000,3.09310000,3.11450000,873400.14000000,873400.14000000
3.23290000,3.24680000,3.18000000,3.22310000,582990.57000000,582990.57000000
3.20770000,3.31900000,3.18880000,3.23290000,758672.74000000,758672.74000000
3.02320000,3.50000000,2.95380000,3.21010000,3624124.96000000,3624124.96000000
3.05040000,3.13070000,2.93840000,3.02320000,1197433.40000000,1197433.40000000
3.15280000,3.18710000,2.95890000,3.05040000,794221.64000000,794221.64000000
3.16970000,3.23790000,3.08110000,3.15690000,825713.29000000,825713.29000000
3.27820000,3.30420000,3.06390000,3.16940000,1413687.09000000,1413687.09000000
3.43780000,3.48860000,3.26890000,3.27840000,1663754.20000000,1663754.20000000
3.37090000,3.47590000,3.32720000,3.43820000,1575962.76000000,1575962.76000000
3.24440000,3.59980000,3.16620000,3.37090000,4024237.10000000,4024237.10000000
3.11420000,3.30000000,3.06670000,3.24380000,3218745.20000000,3218745.20000000
2.87050000,3.14000000,2.85670000,3.11110000,3211332.81000000,3211332.81000000
2.93420000,2.93850000,2.81710000,2.86780000,1560820.46000000,1560820.46000000
3.06010000,3.07910000,2.90810000,2.93730000,1225964.89000000,1225964.89000000
3.18540000,3.28480000,3.03080000,3.05670000,1822647.64000000,1822647.64000000
2.95330000,3.39890000,2.87110000,3.18540000,4779117.49000000,4779117.49000000
2.69710000,3.35000000,2.54450000,2.95570000,7328527.33000000,7328527.33000000
2.50970000,2.75980000,2.43420000,2.69700000,4234211.32000000,4234211.32000000
2.51670000,2.53320000,2.43600000,2.50970000,2060366.97000000,2060366.97000000
2.46150000,2.59930000,2.45260000,2.51670000,2775231.68000000,2775231.68000000
2.44760000,2.51720000,2.42000000,2.46220000,2715172.73000000,2715172.73000000
2.42190000,2.46920000,2.39200000,2.44770000,2493942.02000000,2493942.02000000
2.39260000,2.53630000,2.37810000,2.42440000,2396674.43000000,2396674.43000000
2.31000000,2.42900000,2.23790000,2.39270000,1738117.87000000,1738117.87000000
2.28430000,2.34940000,2.12010000,2.31090000,960952.28000000,960952.28000000
2.17450000,2.29970000,2.06490000,2.28450000,1015348.28000000,1015348.28000000
2.35970000,2.36230000,2.14770000,2.17240000,1023250.55000000,1023250.55000000
2.36990000,2.43710000,2.31170000,2.35970000,613769.96000000,613769.96000000
2.41260000,2.42460000,2.33000000,2.36990000,676199.35000000,676199.35000000
2.44800000,2.50540000,2.39440000,2.42000000,635812.40000000,635812.40000000
2.62400000,2.62580000,2.29300000,2.45200000,1900118.99000000,1900118.99000000
2.57340000,2.79740000,2.45000000,2.62400000,4860837.80000000,4860837.80000000
2.45150000,2.57360000,2.43340000,2.57340000,2395297.22000000,2395297.22000000
2.41700000,2.47230000,2.37730000,2.45150000,1848323.74000000,1848323.74000000
2.48350000,2.51400000,2.38000000,2.41730000,2635696.22000000,2635696.22000000
2.51030000,2.53760000,2.39110000,2.48350000,1763613.90000000,1763613.90000000
2.38920000,2.52920000,2.36520000,2.51480000,2334155.85000000,2334155.85000000
2.36860000,2.40890000,2.30110000,2.38940000,3135786.15000000,3135786.15000000
2.17230000,2.38000000,2.14830000,2.36860000,2535955.49000000,2535955.49000000
2.21760000,2.59370000,2.00000000,2.17180000,4839932.04000000,4839932.04000000
2.15560000,2.25340000,2.11130000,2.21830000,1769673.01000000,1769673.01000000
2.43890000,2.45850000,2.08780000,2.15310000,3114816.76000000,3114816.76000000
2.54280000,2.57800000,2.36590000,2.43890000,1667101.86000000,1667101.86000000
2.44850000,2.59250000,2.42520000,2.54260000,2161401.04000000,2161401.04000000
2.55250000,2.56990000,2.38140000,2.44740000,1246148.23000000,1246148.23000000
2.55900000,2.65000000,2.44500000,2.55230000,1271227.51000000,1271227.51000000
2.48490000,2.56660000,2.31820000,2.55890000,1591457.89000000,1591457.89000000
2.88850000,2.90530000,2.46330000,2.48750000,2686536.68000000,2686536.68000000
3.07840000,3.11540000,2.77980000,2.88530000,3921405.55000000,3921405.55000000
2.60980000,3.14990000,2.53300000,3.07760000,6877255.88000000,6877255.88000000
2.49990000,2.65520000,2.45070000,2.61190000,1594519.67000000,1594519.67000000
