open,high,low,close,5. volume,market cap
10.35900000,10.48700000,10.14600000,10.39400000,27672.42000000,27672.42000000
11.92200000,12.70800000,10.14700000,10.35900000,392947.57800000,392947.57800000
12.31700000,12.48200000,11.50000000,11.92600000,259359.37200000,259359.37200000
12.46800000,12.70500000,11.66800000,12.28600000,153383.77200000,153383.77200000
11.53000000,12.95000000,11.29800000,12.52400000,214058.45700000,214058.45700000
13.82500000,14.08400000,11.24700000,11.53000000,396732.75900000,396732.75900000
14.03900000,14.13600000,13.20000000,13.82500000,258407.30900000,258407.30900000
13.92200000,14.68300000,13.14000000,14.03900000,345683.43900000,345683.43900000
15.05400000,16.80000000,13.61500000,13.94900000,608891.12700000,608891.12700000
13.89000000,15.91000000,13.63000000,15.05400000,526903.12700000,526903.12700000
14.77100000,15.48600000,13.50000000,13.89000000,385994.34100000,385994.34100000
12.26600000,15.69100000,11.66100000,14.76600000,568389.74500000,568389.74500000
11.82800000,13.44000000,11.00000000,12.26700000,384026.17500000,384026.17500000
14.65100000,15.27400000,11.00000000,11.83000000,753370.08300000,753370.08300000
14.26100000,19.60500000,13.08000000,14.64300000,958756.62600000,958756.62600000
13.98800000,15.89000000,12.04900000,14.19000000,505084.17000000,505084.17000000
9.06300000,14.62000000,8.69900000,13.98700000,781357.78000000,781357.78000000
8.44300000,9.44500000,7.50000000,9.12500000,328579.93100000,328579.93100000
6.21800000,9.71300000,6.17900000,8.47600000,385445.03300000,385445.03300000
6.13800000,6.55000000,6.12600000,6.20100000,43739.39100000,43739.39100000
6.27800000,6.34900000,5.99800000,6.13700000,27286.45300000,27286.45300000
6.52300000,6.61100000,6.15000000,6.30000000,33015.03800000,33015.03800000
6.30600000,6.54400000,6.22800000,6.50100000,43032.98700000,43032.98700000
6.35200000,6.55000000,6.13600000,6.30200000,47660.80700000,47660.80700000
6.18200000,6.46100000,6.17900000,6.32100000,30347.61500000,30347.61500000
6.26400000,6.68000000,6.02000000,6.20200000,36394.61600000,36394.61600000
