"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2018","10,832.7051","10,842.4346","11,006.1973","10,699.7559","0.48K","-0.09%"
"Dec 22, 2018","11,045.8945","10,832.7051","11,060.9629","10,798.6064","0.44K","1.97%"
"Dec 23, 2018","10,747.6299","11,045.8945","11,435.2783","10,617.4150","0.30K","-2.70%"
"Dec 24, 2018","9,883.3115","10,747.6299","11,435.2783","9,298.9785","0.05K","-8.04%"
"Dec 25, 2018","9,909.3115","9,883.3115","10,235.2363","9,783.3330","0.15K","0.26%"
"Dec 26, 2018","10,154.3359","9,909.3115","10,336.9551","9,039.6406","0.20K","2.47%"
"Dec 27, 2018","10,716.7383","10,154.3359","10,808.2119","9,448.2617","0.15K","5.54%"
"Dec 28, 2018","10,380.1113","10,716.7383","11,435.2783","10,218.7256","0.13K","-3.14%"
"Dec 29, 2018","10,367.8887","10,380.1113","10,508.3701","10,233.2725","0.11K","-0.12%"
"Dec 30, 2018","10,445.3174","10,367.8887","10,519.3760","10,367.8887","0.13K","0.75%"
"Dec 31, 2018","10,597.9365","10,445.3174","10,672.5693","9,970.0020","0.13K","1.46%"
"Jan 01, 2019","10,544.0469","10,597.9365","11,423.3848","9,972.0000","0.10K","-0.51%"
"Jan 02, 2019","10,440.3682","10,544.0469","11,243.3848","10,326.5918","0.08K","-0.98%"
"Jan 03, 2019","10,678.7275","10,440.3682","10,746.0957","10,440.3682","0.08K","2.28%"
"Jan 04, 2019","10,736.7822","10,678.7275","10,780.0000","10,598.4707","0.11K","0.54%"
"Jan 05, 2019","10,850.3682","10,736.7822","10,864.2969","10,656.2207","0.09K","1.06%"
"Jan 06, 2019","11,056.7920","10,850.3682","11,119.0000","10,330.0000","0.10K","1.90%"
"Jan 07, 2019","11,028.4766","11,056.7920","11,097.0186","10,780.1816","0.08K","-0.26%"
"Jan 08, 2019","10,968.9736","11,028.4766","11,090.5762","10,967.3174","0.12K","-0.54%"
"Jan 09, 2019","10,882.9980","10,968.9736","11,119.0000","10,793.7227","0.10K","-0.78%"
"Jan 10, 2019","11,111.9697","10,882.9980","11,211.7539","10,537.1846","0.12K","2.10%"
"Jan 11, 2019","11,005.7334","11,111.9697","11,119.5928","10,600.0000","0.07K","-0.96%"
"Jan 12, 2019","11,015.2090","11,005.7334","11,080.0361","10,928.9561","0.06K","0.09%"
"Jan 13, 2019","11,175.4863","11,015.2090","11,317.5000","10,902.7529","0.16K","1.46%"
"Jan 14, 2019","11,016.9443","11,175.4863","11,175.4863","10,904.1094","0.36K","-1.42%"
"Jan 15, 2019","11,039.2656","11,016.9443","11,145.1553","9,874.3457","0.26K","0.20%"
"Jan 16, 2019","11,020.5693","11,048.7910","11,080.7871","10,276.9854","0.16K","-0.17%"
"Jan 17, 2019","11,112.6709","11,020.5693","11,181.1758","10,962.9795","0.14K","0.84%"
"Jan 18, 2019","11,223.2852","11,112.6709","11,300.9893","10,809.3574","0.14K","1.00%"
"Jan 19, 2019","11,230.4795","11,223.2852","11,298.5117","11,125.1436","0.10K","0.06%"
"Jan 20, 2019","11,158.1621","11,230.4795","11,400.0000","11,121.4355","0.12K","-0.64%"
"Jan 21, 2019","11,114.8926","11,158.1621","11,239.0869","11,056.3457","0.09K","-0.39%"
"Jan 22, 2019","11,246.6338","11,114.8926","11,290.6699","11,098.1660","0.15K","1.19%"
"Jan 23, 2019","11,279.4727","11,246.6338","11,357.5225","10,675.8730","0.11K","0.29%"
"Jan 24, 2019","11,275.5840","11,279.4727","11,290.7217","11,213.5313","0.12K","-0.03%"
"Jan 25, 2019","11,356.6689","11,275.5840","11,393.8984","11,027.3438","0.09K","0.72%"
"Jan 26, 2019","11,405.1865","11,356.6689","11,482.7842","10,962.1709","0.10K","0.43%"
"Jan 27, 2019","11,576.1885","11,405.1865","11,934.8682","11,369.7705","0.10K","1.50%"
"Jan 28, 2019","11,745.4941","11,576.1885","12,053.5254","11,479.7148","0.19K","1.46%"
"Jan 29, 2019","11,855.1963","11,745.4941","11,894.0049","11,062.7588","0.16K","0.93%"
"Jan 30, 2019","10,850.6729","11,855.1963","11,876.9805","10,594.6143","0.13K","-8.47%"
"Jan 31, 2019","11,110.8115","10,850.6729","11,255.9131","10,370.8975","0.14K","2.40%"
"Feb 01, 2019","11,276.9160","11,110.8115","11,569.3721","11,059.7002","0.13K","1.49%"
"Feb 02, 2019","11,266.3418","11,276.9160","11,382.9395","11,047.0508","0.10K","-0.09%"
"Feb 03, 2019","11,447.7852","11,266.3418","11,539.7188","11,163.4688","0.09K","1.61%"
"Feb 04, 2019","11,533.6377","11,447.7852","11,662.0205","11,372.9092","0.11K","0.75%"
"Feb 05, 2019","11,591.6357","11,533.6377","11,738.5205","11,486.2490","0.13K","0.50%"
"Feb 06, 2019","11,957.1221","11,591.6357","12,268.0762","11,553.9951","0.17K","3.15%"
"Feb 07, 2019","11,664.5283","11,957.1221","11,957.1221","11,500.9971","0.06K","-2.45%"
"Feb 08, 2019","11,714.5342","11,664.5283","11,810.1533","11,314.2334","0.07K","0.43%"
"Feb 09, 2019","11,740.1289","11,714.5342","11,861.6455","11,630.4219","0.14K","0.22%"
"Feb 10, 2019","11,894.8564","11,740.1289","12,171.2773","11,725.6426","0.06K","1.32%"
"Feb 11, 2019","11,979.7715","11,894.8564","12,012.4941","11,687.8018","0.07K","0.71%"
"Feb 12, 2019","11,913.6533","11,977.3750","12,073.0176","11,748.0908","0.08K","-0.55%"
"Feb 13, 2019","11,874.7842","11,913.6533","11,984.2598","11,001.0000","0.08K","-0.33%"
"Feb 14, 2019","11,890.4238","11,874.7842","11,933.7041","11,001.0000","0.07K","0.13%"
"Feb 15, 2019","11,955.8213","11,890.4238","12,183.4688","11,868.8145","0.06K","0.55%"
"Feb 16, 2019","12,020.0889","11,955.8213","12,268.0762","11,948.0742","0.05K","0.54%"
"Feb 17, 2019","12,092.6699","12,020.0889","12,097.5762","11,986.5225","0.06K","0.60%"
"Feb 18, 2019","12,111.5557","12,092.6699","12,302.4971","11,920.0000","0.14K","0.16%"
"Feb 19, 2019","12,113.6514","12,111.5557","12,131.4307","11,070.0000","0.16K","0.02%"
"Feb 20, 2019","11,976.4131","12,113.6514","12,228.6875","11,903.4678","0.11K","-1.13%"
"Feb 21, 2019","12,286.8945","11,976.4131","12,459.1270","11,976.4131","0.09K","2.59%"
"Feb 22, 2019","12,340.6455","12,286.8945","12,498.7559","12,259.4609","0.07K","0.44%"
"Feb 23, 2019","12,460.5859","12,340.6455","12,499.2295","11,500.0098","0.04K","0.97%"
"Feb 24, 2019","12,571.9404","12,460.5859","12,653.9463","12,006.4766","0.16K","0.89%"
"Feb 25, 2019","11,702.5566","12,571.9404","12,652.7275","11,395.0469","0.12K","-6.92%"
"Feb 26, 2019","12,011.1143","11,702.5566","12,189.0068","11,274.7354","0.10K","2.64%"
"Feb 27, 2019","12,268.6055","12,011.1143","12,301.3105","11,985.3516","0.07K","2.14%"
"Feb 28, 2019","12,159.8848","12,268.6055","12,562.4746","12,088.5996","0.09K","-0.89%"
"Mar 01, 2019","12,102.2725","12,159.8848","12,641.3682","11,708.5313","0.08K","-0.47%"
"Mar 02, 2019","12,198.6348","12,102.2725","12,249.4238","11,995.2998","0.07K","0.80%"
"Mar 03, 2019","12,233.1738","12,198.6348","12,312.2168","12,147.7725","0.04K","0.28%"
"Mar 04, 2019","12,290.8125","12,233.1738","12,436.5801","11,708.5313","0.09K","0.47%"
"Mar 05, 2019","12,248.2109","12,290.8125","12,334.9229","12,134.5449","0.08K","-0.35%"
"Mar 06, 2019","12,208.5283","12,248.2109","12,461.5576","11,637.5947","0.08K","-0.32%"
"Mar 07, 2019","12,357.6689","12,208.5283","12,415.6260","12,022.4580","0.07K","1.22%"
"Mar 08, 2019","12,563.9199","12,357.6689","12,637.4043","12,298.6943","0.07K","1.67%"
"Mar 09, 2019","12,556.2119","12,563.9199","12,607.4688","12,181.6846","0.10K","-0.06%"
"Mar 10, 2019","12,519.5762","12,556.2119","12,675.7881","12,362.8135","0.07K","-0.29%"
"Mar 11, 2019","12,541.2090","12,519.5762","12,587.7764","12,103.6709","0.09K","0.17%"
"Mar 12, 2019","12,512.3555","12,541.2090","12,556.1836","12,433.9316","0.07K","-0.23%"
"Mar 13, 2019","12,333.2158","12,512.3555","13,287.6670","11,915.8066","0.07K","-1.43%"
"Mar 14, 2019","12,458.7334","12,333.2158","12,514.0820","11,827.5693","0.08K","1.02%"
"Mar 15, 2019","12,462.9326","12,458.7334","12,861.4316","12,402.7354","0.06K","0.03%"
"Mar 16, 2019","12,574.9697","12,462.9326","12,707.4307","12,361.3467","0.08K","0.90%"
"Mar 17, 2019","12,624.8760","12,571.6689","12,638.8535","12,520.9502","0.05K","0.40%"
"Mar 18, 2019","12,681.2500","12,624.8760","12,761.3145","12,558.1035","0.06K","0.45%"
"Mar 19, 2019","12,710.1240","12,681.2500","12,753.9912","11,914.9043","0.05K","0.23%"
"Mar 20, 2019","12,736.1182","12,710.1240","12,835.8730","12,509.2100","0.06K","0.20%"
"Mar 21, 2019","12,818.4180","12,736.1182","12,966.4990","12,653.0596","0.10K","0.65%"
"Mar 22, 2019","12,836.1455","12,818.4180","13,143.2871","12,788.9844","0.06K","0.14%"
"Mar 23, 2019","12,841.1826","12,836.1455","12,918.4785","12,813.8027","0.05K","0.04%"
"Mar 24, 2019","12,973.7480","12,841.1826","13,076.5264","12,772.7852","0.04K","1.03%"
"Mar 25, 2019","12,984.9463","12,968.8242","13,116.6436","12,897.7813","0.06K","0.09%"
"Mar 26, 2019","13,066.0693","12,984.9463","13,409.0381","12,919.7822","0.10K","0.62%"
"Mar 27, 2019","13,029.0400","13,030.1777","13,290.9590","12,947.9844","0.09K","-0.28%"
"Mar 28, 2019","13,160.2930","13,029.0400","13,262.0742","13,017.8438","0.06K","1.01%"
"Mar 29, 2019","13,341.3477","13,160.2930","13,495.5156","13,075.9209","0.07K","1.38%"
"Mar 30, 2019","13,198.6563","13,341.3477","13,674.0078","12,946.7920","0.06K","-1.07%"
"Mar 31, 2019","13,286.3955","13,198.6563","13,357.7031","12,408.5547","0.04K","0.66%"
"Apr 01, 2019","13,268.1152","13,286.3955","13,674.0078","12,358.9199","0.06K","-0.14%"
"Apr 02, 2019","13,865.2012","13,268.1152","14,975.0186","12,928.8232","0.24K","4.50%"
"Apr 03, 2019","14,526.8516","13,865.2012","14,736.3740","13,529.1221","0.21K","4.77%"
"Apr 04, 2019","14,841.2100","14,526.8516","14,956.0010","14,498.7363","0.24K","2.16%"
"Apr 05, 2019","13,857.8301","14,841.2100","14,911.4570","13,003.8613","0.14K","-6.63%"
"Apr 06, 2019","14,283.3760","13,857.8301","15,157.4678","13,737.2373","0.07K","3.07%"
"Apr 07, 2019","14,312.6074","14,283.3760","14,619.0410","13,237.7930","0.12K","0.20%"
"Apr 08, 2019","14,735.2285","14,312.6074","14,766.3828","13,237.4375","0.15K","2.95%"
"Apr 09, 2019","14,842.6826","14,735.2285","14,847.4326","14,354.4160","0.10K","0.73%"
"Apr 10, 2019","15,000.7607","14,842.6826","15,176.3232","14,318.9414","0.06K","1.07%"
"Apr 11, 2019","15,319.9043","15,000.7607","15,924.8096","15,000.7607","0.18K","2.13%"
"Apr 12, 2019","15,569.4932","15,319.9043","15,653.8135","15,293.3135","0.10K","1.63%"
"Apr 13, 2019","15,547.6152","15,569.4932","15,950.0000","14,299.0000","0.06K","-0.14%"
"Apr 14, 2019","15,565.3711","15,547.6152","15,854.2354","15,349.4600","0.04K","0.11%"
"Apr 15, 2019","15,722.6025","15,565.3711","16,010.3691","15,485.8330","0.06K","1.01%"
"Apr 16, 2019","15,968.5518","15,722.6025","16,126.4883","15,706.3535","0.08K","1.56%"
"Apr 17, 2019","15,576.8447","15,968.5518","16,200.2061","15,323.3340","0.08K","-2.45%"
"Apr 18, 2019","15,646.5781","15,576.8447","16,325.7285","13,154.3799","0.05K","0.45%"
"Apr 19, 2019","15,902.4473","15,646.5781","15,936.5078","15,197.9932","0.06K","1.64%"
"Apr 20, 2019","16,200.0869","15,902.4473","16,355.0000","15,540.0977","0.06K","1.87%"
"Apr 21, 2019","16,440.7188","16,200.0869","16,527.2168","16,128.9277","0.07K","1.49%"
"Apr 22, 2019","16,608.5195","16,440.7188","16,777.5410","15,871.0244","0.05K","1.02%"
"Apr 23, 2019","17,276.4258","16,608.5195","17,455.4727","16,574.9316","0.13K","4.02%"
"Apr 24, 2019","18,063.2715","17,276.4258","18,690.1523","15,872.0000","0.14K","4.55%"
"Apr 25, 2019","17,940.2949","18,063.2715","18,360.1465","17,698.1035","0.05K","-0.68%"
"Apr 26, 2019","17,584.6758","17,940.2949","18,085.5195","17,479.6816","0.11K","-1.98%"
"Apr 27, 2019","17,766.5137","17,584.6758","17,899.6875","15,874.0000","0.04K","1.03%"
"Apr 28, 2019","17,728.7383","17,766.5137","17,857.4688","17,598.5879","0.02K","-0.21%"
"Apr 29, 2019","17,811.9492","17,728.7383","18,638.5020","17,638.3105","0.03K","0.47%"
"Apr 30, 2019","17,242.3242","17,814.4199","17,826.6582","16,812.1133","0.03K","-3.20%"
"May 01, 2019","17,762.7227","17,242.3242","17,785.5977","17,198.3398","0.03K","3.02%"
"May 02, 2019","18,176.1328","17,762.7227","18,303.7520","17,718.2656","0.03K","2.33%"
"May 03, 2019","18,742.2832","18,176.1328","19,289.4180","18,117.8145","0.08K","3.11%"
"May 04, 2019","19,260.5586","18,742.2832","19,385.3652","18,528.8438","0.06K","2.77%"
"May 05, 2019","19,178.9063","19,260.5586","19,335.0254","19,048.3262","0.05K","-0.42%"
"May 06, 2019","18,958.6836","19,178.9063","19,287.3262","18,775.3730","0.04K","-1.15%"
"May 07, 2019","19,630.1211","18,958.6836","19,992.0430","18,915.2949","0.06K","3.54%"
"May 08, 2019","19,944.2988","19,630.1211","19,994.0293","19,491.0137","0.05K","1.60%"
"May 09, 2019","21,076.1523","19,944.2988","21,381.6191","19,322.0918","0.04K","5.68%"
"May 10, 2019","21,448.6855","21,076.1523","21,918.3770","20,792.2832","0.06K","1.77%"
"May 11, 2019","22,327.2285","21,448.6855","23,317.0410","19,229.3457","0.10K","4.10%"
"May 12, 2019","22,496.1191","22,327.2285","23,576.7207","20,537.3320","0.16K","0.76%"
"May 13, 2019","23,941.7695","22,496.1191","24,790.6094","21,589.7285","0.11K","6.43%"
"May 14, 2019","19,546.5039","23,941.7695","24,474.5293","18,712.4570","0.16K","-18.36%"
"May 15, 2019","17,814.2207","19,546.5039","19,651.9355","17,605.0332","0.04K","-8.86%"
"May 16, 2019","18,831.3633","17,814.2207","19,609.7441","17,460.7637","0.07K","5.71%"
"May 17, 2019","18,926.8555","18,831.3633","19,983.0234","16,591.2285","0.09K","0.51%"
"May 18, 2019","19,535.8418","18,926.8555","19,727.7930","16,526.5234","0.05K","3.22%"
"May 19, 2019","19,606.8555","19,535.8418","20,391.7188","18,913.1836","0.06K","0.36%"
"May 20, 2019","20,026.0547","19,606.8555","20,163.5176","18,517.6602","0.06K","2.14%"
"May 21, 2019","19,979.4844","20,026.0547","20,273.6680","19,696.4668","0.05K","-0.23%"
"May 22, 2019","20,493.7715","19,979.4844","20,900.2969","19,633.7656","0.04K","2.57%"
"May 23, 2019","20,775.2734","20,493.7715","21,104.3555","20,393.5234","0.06K","1.37%"
"May 24, 2019","20,766.7070","20,775.2734","20,972.0352","20,345.3906","0.05K","-0.04%"
"May 25, 2019","20,817.2930","20,766.7070","21,199.8262","20,555.4414","0.04K","0.24%"
"May 26, 2019","21,388.3965","20,817.2930","21,618.1934","20,691.9609","0.03K","2.74%"
"May 27, 2019","20,149.0898","21,388.3965","21,964.2070","19,866.2949","0.06K","-5.79%"
"May 28, 2019","19,435.2832","20,149.0898","21,859.3965","18,668.4180","0.04K","-3.54%"
"May 29, 2019","19,552.4551","19,435.2832","20,095.5352","18,560.1797","0.04K","0.60%"
"May 30, 2019","19,779.5215","19,552.4551","19,997.0098","18,337.7715","0.03K","1.16%"
"May 31, 2019","19,648.6055","19,779.5215","19,982.0762","18,228.3418","0.09K","-0.66%"
"Jun 01, 2019","19,801.2637","19,648.6055","20,303.0313","19,346.8125","0.04K","0.78%"
"Jun 02, 2019","19,691.8984","19,801.2637","19,897.3223","19,557.1152","0.03K","-0.55%"
