"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2018","0.016993","0.016722","0.017261","0.016722","569.36K","1.62%"
"Jan 12, 2018","0.017044","0.016994","0.017239","0.016900","372.89K","0.30%"
"Jan 13, 2018","0.018104","0.017039","0.018300","0.016826","397.96K","6.22%"
"Jan 14, 2018","0.017396","0.018104","0.018800","0.017396","457.03K","-3.91%"
"Jan 15, 2018","0.017084","0.017396","0.017569","0.016979","273.36K","-1.79%"
"Jan 16, 2018","0.016441","0.017084","0.017264","0.015000","786.67K","-3.76%"
"Jan 17, 2018","0.016809","0.016441","0.017140","0.015000","926.49K","2.24%"
"Jan 18, 2018","0.017029","0.016814","0.017371","0.016298","581.06K","1.31%"
"Jan 19, 2018","0.016759","0.017029","0.017199","0.016649","312.51K","-1.59%"
"Jan 20, 2018","0.016494","0.016759","0.016798","0.016134","206.25K","-1.58%"
"Jan 21, 2018","0.016514","0.016494","0.016673","0.016191","247.65K","0.12%"
"Jan 22, 2018","0.016586","0.016514","0.016679","0.016306","279.36K","0.44%"
"Jan 23, 2018","0.016411","0.016586","0.016650","0.016251","242.69K","-1.06%"
"Jan 24, 2018","0.015879","0.016411","0.016476","0.015879","178.21K","-3.24%"
"Jan 25, 2018","0.016085","0.015879","0.016224","0.015768","254.61K","1.30%"
"Jan 26, 2018","0.015838","0.016085","0.016140","0.015701","209.24K","-1.53%"
"Jan 27, 2018","0.015853","0.015838","0.016069","0.015784","111.26K","0.10%"
"Jan 28, 2018","0.016541","0.015853","0.016541","0.015710","152.54K","4.34%"
"Jan 29, 2018","0.016161","0.016541","0.016541","0.016044","110.05K","-2.30%"
"Jan 30, 2018","0.016430","0.016161","0.016566","0.016029","262.04K","1.66%"
"Jan 31, 2018","0.016056","0.016430","0.016476","0.016018","241.75K","-2.28%"
"Feb 01, 2018","0.015621","0.016056","0.016259","0.015044","359.86K","-2.71%"
"Feb 02, 2018","0.014857","0.015621","0.015818","0.013469","735.92K","-4.89%"
"Feb 03, 2018","0.017384","0.014857","0.017503","0.014644","494.45K","17.01%"
"Feb 04, 2018","0.017996","0.017402","0.018556","0.017187","716.80K","3.52%"
"Feb 05, 2018","0.018088","0.017996","0.018426","0.017451","776.05K","0.51%"
"Feb 06, 2018","0.018470","0.018076","0.018680","0.017504","973.16K","2.11%"
"Feb 07, 2018","0.018180","0.018470","0.018780","0.018042","1.96M","-1.57%"
"Feb 08, 2018","0.018197","0.018152","0.018330","0.017321","3.06M","0.10%"
"Feb 09, 2018","0.018809","0.018160","0.018838","0.017739","1.85M","3.36%"
"Feb 10, 2018","0.018130","0.018813","0.018928","0.017949","597.17K","-3.61%"
"Feb 11, 2018","0.018418","0.018180","0.018654","0.017930","990.13K","1.59%"
"Feb 12, 2018","0.018181","0.018405","0.018600","0.018066","964.93K","-1.29%"
"Feb 13, 2018","0.018654","0.018180","0.018700","0.018103","951.83K","2.60%"
"Feb 14, 2018","0.022454","0.018650","0.023452","0.018627","962.42K","20.37%"
"Feb 15, 2018","0.022079","0.022454","0.024988","0.020987","781.63K","-1.67%"
"Feb 16, 2018","0.022443","0.022067","0.023342","0.020949","674.54K","1.65%"
"Feb 17, 2018","0.020661","0.022441","0.022562","0.020606","668.82K","-7.94%"
"Feb 18, 2018","0.020535","0.020670","0.021336","0.020100","666.50K","-0.61%"
"Feb 19, 2018","0.019899","0.020544","0.020833","0.019895","701.25K","-3.10%"
"Feb 20, 2018","0.020306","0.019893","0.022000","0.019337","640.30K","2.04%"
"Feb 21, 2018","0.020063","0.020370","0.020567","0.019587","641.82K","-1.20%"
"Feb 22, 2018","0.019650","0.020047","0.020551","0.019300","649.77K","-2.06%"
"Feb 23, 2018","0.020379","0.019650","0.020685","0.018879","682.99K","3.71%"
"Feb 24, 2018","0.021321","0.020370","0.021441","0.020191","661.57K","4.62%"
"Feb 25, 2018","0.022766","0.021321","0.023235","0.020940","685.81K","6.78%"
"Feb 26, 2018","0.021200","0.022760","0.024000","0.021166","666.42K","-6.88%"
"Feb 27, 2018","0.020314","0.021202","0.021424","0.020116","722.83K","-4.18%"
"Feb 28, 2018","0.019600","0.020337","0.020782","0.019600","707.65K","-3.51%"
"Mar 01, 2018","0.019164","0.019600","0.019900","0.019153","718.62K","-2.22%"
"Mar 02, 2018","0.019307","0.019174","0.019384","0.018667","735.83K","0.75%"
"Mar 03, 2018","0.018330","0.019292","0.019587","0.018330","709.81K","-5.06%"
"Mar 04, 2018","0.018609","0.018344","0.018789","0.018319","697.94K","1.52%"
"Mar 05, 2018","0.018385","0.018594","0.018849","0.018170","692.21K","-1.20%"
"Mar 06, 2018","0.018321","0.018405","0.018585","0.018147","695.70K","-0.35%"
"Mar 07, 2018","0.018736","0.018321","0.018788","0.017960","747.82K","2.27%"
"Mar 08, 2018","0.018851","0.018736","0.019102","0.018438","716.91K","0.61%"
"Mar 09, 2018","0.020126","0.018851","0.020870","0.018504","717.75K","6.77%"
"Mar 10, 2018","0.020154","0.020126","0.020600","0.019790","705.21K","0.14%"
"Mar 11, 2018","0.019730","0.020154","0.020700","0.019601","726.41K","-2.10%"
"Mar 12, 2018","0.019508","0.019730","0.019918","0.019260","683.01K","-1.13%"
"Mar 13, 2018","0.019201","0.019508","0.019571","0.019082","400.52K","-1.57%"
"Mar 14, 2018","0.019563","0.019200","0.019900","0.018910","368.57K","1.88%"
"Mar 15, 2018","0.019870","0.019563","0.020231","0.019438","376.71K","1.57%"
"Mar 16, 2018","0.019901","0.019886","0.020071","0.019500","355.43K","0.16%"
"Mar 17, 2018","0.019353","0.019917","0.019981","0.019306","389.56K","-2.76%"
"Mar 18, 2018","0.018742","0.019353","0.019650","0.018683","449.23K","-3.15%"
"Mar 19, 2018","0.018772","0.018757","0.018946","0.018520","379.54K","0.16%"
"Mar 20, 2018","0.018923","0.018772","0.019228","0.018608","352.26K","0.81%"
"Mar 21, 2018","0.018923","0.018919","0.019228","0.018700","363.75K","0.00%"
"Mar 22, 2018","0.018795","0.018923","0.019136","0.018716","392.64K","-0.68%"
"Mar 23, 2018","0.018968","0.018789","0.019000","0.018759","282.62K","0.92%"
"Mar 24, 2018","0.018578","0.018968","0.018984","0.018410","198.96K","-2.06%"
"Mar 25, 2018","0.018947","0.018551","0.019040","0.018551","190.28K","1.99%"
"Mar 26, 2018","0.018217","0.018953","0.019030","0.017950","374.71K","-3.85%"
"Mar 27, 2018","0.017387","0.018217","0.018254","0.017387","423.14K","-4.56%"
"Mar 28, 2018","0.016530","0.017376","0.017384","0.016530","422.46K","-4.93%"
"Mar 29, 2018","0.015702","0.016541","0.016675","0.015196","488.40K","-5.01%"
"Mar 30, 2018","0.017303","0.015715","0.017494","0.015715","432.68K","10.20%"
"Mar 31, 2018","0.016755","0.017299","0.017494","0.016730","399.22K","-3.17%"
"Apr 01, 2018","0.016864","0.016755","0.017065","0.016630","367.80K","0.65%"
"Apr 02, 2018","0.016889","0.016864","0.017120","0.016668","379.56K","0.15%"
"Apr 03, 2018","0.018134","0.016889","0.018222","0.016648","265.11K","7.38%"
"Apr 04, 2018","0.017388","0.018149","0.018149","0.016897","262.10K","-4.11%"
"Apr 05, 2018","0.017535","0.017388","0.017720","0.017150","242.27K","0.85%"
"Apr 06, 2018","0.017070","0.017497","0.017578","0.017065","218.37K","-2.65%"
"Apr 07, 2018","0.016794","0.017070","0.017326","0.016740","209.48K","-1.62%"
"Apr 08, 2018","0.016759","0.016794","0.016841","0.016617","210.31K","-0.20%"
"Apr 09, 2018","0.016964","0.016759","0.017171","0.016700","210.83K","1.22%"
"Apr 10, 2018","0.016722","0.016964","0.016991","0.016667","207.03K","-1.42%"
"Apr 11, 2018","0.016996","0.016704","0.017160","0.016500","212.97K","1.64%"
"Apr 12, 2018","0.016371","0.017023","0.017078","0.015689","276.62K","-3.68%"
"Apr 13, 2018","0.015914","0.016380","0.016380","0.015900","246.11K","-2.79%"
"Apr 14, 2018","0.015816","0.015914","0.015942","0.015764","235.49K","-0.62%"
"Apr 15, 2018","0.015891","0.015814","0.015987","0.015689","214.35K","0.47%"
"Apr 16, 2018","0.015969","0.015882","0.016044","0.015697","206.55K","0.50%"
"Apr 17, 2018","0.016831","0.015969","0.017300","0.015969","315.92K","5.40%"
"Apr 18, 2018","0.017188","0.016792","0.017297","0.016765","216.12K","2.12%"
"Apr 19, 2018","0.017731","0.017200","0.017816","0.017024","234.88K","3.15%"
"Apr 20, 2018","0.017575","0.017702","0.017980","0.017422","246.23K","-0.88%"
"Apr 21, 2018","0.016648","0.017575","0.017730","0.016370","253.96K","-5.28%"
"Apr 22, 2018","0.016663","0.016648","0.017012","0.016446","199.71K","0.09%"
"Apr 23, 2018","0.017039","0.016663","0.017150","0.016631","206.09K","2.26%"
"Apr 24, 2018","0.017088","0.017046","0.017642","0.016989","242.08K","0.29%"
"Apr 25, 2018","0.016340","0.017062","0.017076","0.015930","266.87K","-4.38%"
"Apr 26, 2018","0.016575","0.016340","0.016699","0.016311","215.27K","1.44%"
"Apr 27, 2018","0.016333","0.016551","0.016564","0.016100","213.81K","-1.46%"
"Apr 28, 2018","0.016289","0.016361","0.016376","0.016104","203.97K","-0.27%"
"Apr 29, 2018","0.016324","0.016274","0.016412","0.016069","211.59K","0.22%"
"Apr 30, 2018","0.016052","0.016300","0.016386","0.016000","199.79K","-1.67%"
"May 01, 2018","0.016267","0.016031","0.016325","0.016000","197.55K","1.34%"
"May 02, 2018","0.016420","0.016290","0.016614","0.016159","243.96K","0.94%"
"May 03, 2018","0.016573","0.016412","0.017260","0.016366","389.83K","0.93%"
"May 04, 2018","0.017390","0.016538","0.017530","0.016410","505.10K","4.93%"
"May 05, 2018","0.018110","0.017380","0.018434","0.017272","480.20K","4.14%"
"May 06, 2018","0.017868","0.018132","0.018545","0.017460","410.60K","-1.34%"
"May 07, 2018","0.017570","0.017861","0.017889","0.017150","398.91K","-1.66%"
"May 08, 2018","0.017354","0.017556","0.017819","0.017150","378.34K","-1.23%"
"May 09, 2018","0.016824","0.017354","0.017370","0.016790","395.01K","-3.06%"
"May 10, 2018","0.016422","0.016885","0.017200","0.016400","406.58K","-2.39%"
"May 11, 2018","0.016216","0.016439","0.016599","0.016015","504.95K","-1.26%"
"May 12, 2018","0.016727","0.016214","0.016810","0.016015","403.80K","3.15%"
"May 13, 2018","0.016626","0.016738","0.016820","0.016220","383.81K","-0.61%"
"May 14, 2018","0.017024","0.016628","0.017250","0.016170","363.72K","2.39%"
"May 15, 2018","0.016466","0.016990","0.017131","0.016359","368.88K","-3.28%"
"May 16, 2018","0.016675","0.016476","0.016766","0.016350","338.68K","1.27%"
"May 17, 2018","0.016451","0.016675","0.016839","0.016357","334.42K","-1.35%"
"May 18, 2018","0.016513","0.016443","0.016700","0.016220","346.05K","0.38%"
"May 19, 2018","0.016412","0.016537","0.016574","0.016217","366.92K","-0.61%"
"May 20, 2018","0.016391","0.016404","0.016566","0.016219","364.03K","-0.13%"
"May 21, 2018","0.015977","0.016386","0.016454","0.015957","351.11K","-2.53%"
"May 22, 2018","0.016030","0.015977","0.016302","0.015920","360.45K","0.33%"
"May 23, 2018","0.015790","0.016030","0.016113","0.015560","440.48K","-1.50%"
"May 24, 2018","0.016231","0.015790","0.016423","0.015569","356.48K","2.80%"
"May 25, 2018","0.015950","0.016213","0.016312","0.015867","330.09K","-1.73%"
"May 26, 2018","0.016145","0.015932","0.016200","0.015910","324.87K","1.23%"
"May 27, 2018","0.016023","0.016153","0.016228","0.015964","315.92K","-0.76%"
"May 28, 2018","0.015610","0.016051","0.016139","0.015548","330.14K","-2.58%"
"May 29, 2018","0.016035","0.015586","0.016400","0.015518","346.59K","2.72%"
"May 30, 2018","0.015882","0.016005","0.016248","0.015686","346.18K","-0.95%"
"May 31, 2018","0.015820","0.015885","0.015963","0.015723","334.82K","-0.39%"
