"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2017","0.015240","0.016480","0.017600","0.014880","12.67K","-7.52%"
"Nov 17, 2017","0.016310","0.015240","0.016460","0.014940","19.76K","7.02%"
"Nov 18, 2017","0.016920","0.016310","0.017570","0.015970","11.21K","3.74%"
"Nov 19, 2017","0.016110","0.016920","0.017330","0.015620","11.23K","-4.79%"
"Nov 20, 2017","0.016590","0.016110","0.017990","0.015900","11.33K","2.98%"
"Nov 21, 2017","0.017440","0.016590","0.017440","0.016380","12.30K","5.12%"
"Nov 22, 2017","0.020040","0.017440","0.021260","0.017240","16.75K","14.91%"
"Nov 23, 2017","0.019840","0.020040","0.021600","0.018840","18.01K","-1.00%"
"Nov 24, 2017","0.019330","0.019840","0.020140","0.018620","11.86K","-2.57%"
"Nov 25, 2017","0.019140","0.019330","0.020330","0.019000","13.09K","-0.98%"
"Nov 26, 2017","0.017480","0.019140","0.019250","0.016970","11.56K","-8.67%"
"Nov 27, 2017","0.017800","0.017480","0.019390","0.016600","11.30K","1.83%"
"Nov 28, 2017","0.019760","0.017800","0.020090","0.015400","21.65K","11.01%"
"Nov 29, 2017","0.017090","0.019760","0.020300","0.017000","20.15K","-13.51%"
"Nov 30, 2017","0.017600","0.017090","0.018590","0.016500","16.19K","2.98%"
"Dec 01, 2017","0.017390","0.017600","0.017980","0.017080","22.14K","-1.19%"
"Dec 02, 2017","0.018400","0.017390","0.018500","0.016900","18.60K","5.81%"
"Dec 03, 2017","0.017550","0.018400","0.018860","0.017180","21.31K","-4.62%"
"Dec 04, 2017","0.018000","0.017550","0.018150","0.016050","25.09K","2.56%"
"Dec 05, 2017","0.021220","0.018000","0.021240","0.017780","43.05K","17.89%"
"Dec 06, 2017","0.018700","0.021220","0.025000","0.017960","41.81K","-11.88%"
"Dec 07, 2017","0.015230","0.018700","0.019810","0.013950","34.99K","-18.56%"
"Dec 08, 2017","0.016360","0.015230","0.018000","0.014420","22.13K","7.42%"
"Dec 09, 2017","0.017300","0.016360","0.019100","0.016220","24.58K","5.75%"
"Dec 10, 2017","0.015900","0.017300","0.018050","0.015800","18.20K","-8.09%"
"Dec 11, 2017","0.016610","0.015900","0.017410","0.015310","18.75K","4.47%"
"Dec 12, 2017","0.018120","0.016610","0.019100","0.016430","35.06K","9.09%"
"Dec 13, 2017","0.019800","0.018120","0.020000","0.017570","31.41K","9.27%"
"Dec 14, 2017","0.020110","0.019800","0.021660","0.018400","49.02K","1.57%"
"Dec 15, 2017","0.017490","0.020110","0.020200","0.016010","32.11K","-13.03%"
"Dec 16, 2017","0.016670","0.017490","0.018790","0.016300","29.45K","-4.69%"
"Dec 17, 2017","0.018160","0.016670","0.019120","0.016670","36.44K","8.94%"
"Dec 18, 2017","0.019740","0.018160","0.019800","0.017810","35.47K","8.70%"
"Dec 19, 2017","0.020630","0.019740","0.021230","0.019400","39.70K","4.51%"
"Dec 20, 2017","0.029150","0.020630","0.031000","0.019520","69.26K","41.30%"
"Dec 21, 2017","0.027000","0.029150","0.029400","0.026000","41.83K","-7.38%"
"Dec 22, 2017","0.024230","0.027000","0.027260","0.022000","42.82K","-10.26%"
"Dec 23, 2017","0.024530","0.024230","0.026000","0.023990","17.78K","1.24%"
"Dec 24, 2017","0.024380","0.024530","0.025490","0.023510","20.82K","-0.61%"
"Dec 25, 2017","0.024430","0.024380","0.024850","0.024000","22.53K","0.21%"
"Dec 26, 2017","0.022800","0.024430","0.025100","0.021820","33.75K","-6.67%"
"Dec 27, 2017","0.024320","0.022800","0.025100","0.022660","33.62K","6.67%"
"Dec 28, 2017","0.024820","0.024320","0.025350","0.023100","34.79K","2.06%"
"Dec 29, 2017","0.024540","0.024820","0.025410","0.024020","36.24K","-1.13%"
"Dec 30, 2017","0.024500","0.024540","0.025600","0.023900","42.02K","-0.16%"
"Dec 31, 2017","0.024100","0.024500","0.024900","0.023900","36.50K","-1.63%"
"Jan 01, 2018","0.025190","0.024100","0.025680","0.023800","37.86K","4.52%"
"Jan 02, 2018","0.024730","0.025190","0.027820","0.022010","49.13K","-1.83%"
"Jan 03, 2018","0.025530","0.024730","0.025830","0.023660","38.38K","3.23%"
"Jan 04, 2018","0.024350","0.025530","0.025810","0.024100","38.68K","-4.62%"
"Jan 05, 2018","0.020910","0.024350","0.024860","0.020100","44.61K","-14.13%"
"Jan 06, 2018","0.022920","0.020910","0.023800","0.019790","42.01K","9.61%"
"Jan 07, 2018","0.024730","0.022920","0.025880","0.022800","46.25K","7.90%"
"Jan 08, 2018","0.026660","0.024730","0.027400","0.024230","44.96K","7.80%"
"Jan 09, 2018","0.028430","0.026660","0.029700","0.023900","50.50K","6.64%"
"Jan 10, 2018","0.027240","0.028430","0.029260","0.027090","42.28K","-4.19%"
"Jan 11, 2018","0.026710","0.027240","0.028450","0.026510","38.46K","-1.95%"
"Jan 12, 2018","0.027890","0.026710","0.028300","0.026500","17.92K","4.42%"
"Jan 13, 2018","0.029400","0.027890","0.030000","0.027730","27.61K","5.41%"
"Jan 14, 2018","0.028820","0.029400","0.030900","0.028500","16.19K","-1.97%"
"Jan 15, 2018","0.030370","0.028820","0.032000","0.028710","23.21K","5.38%"
