"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 02, 2017","3.9100","3.1800","3.9700","3.1100","193.82K","22.96%"
"Dec 03, 2017","3.5900","3.9100","4.2000","3.4500","178.07K","-8.18%"
"Dec 04, 2017","4.0000","3.5900","4.2400","3.4000","195.80K","11.42%"
"Dec 05, 2017","4.3500","4.0000","4.4600","3.6300","167.26K","8.75%"
"Dec 06, 2017","4.4700","4.3500","5.0900","4.1100","206.39K","2.76%"
"Dec 07, 2017","3.8200","4.4700","4.5800","3.5000","107.23K","-14.54%"
"Dec 08, 2017","4.2300","3.8200","4.5300","3.5500","117.23K","10.73%"
"Dec 09, 2017","3.9600","4.2300","4.6900","3.7000","115.85K","-6.38%"
"Dec 10, 2017","3.6900","3.9600","4.1900","3.4100","119.53K","-6.82%"
"Dec 11, 2017","4.2500","3.6900","4.4000","3.6700","129.58K","15.18%"
"Dec 12, 2017","5.0800","4.2500","5.6000","4.0500","164.70K","19.53%"
"Dec 13, 2017","7.1200","5.0800","10.8000","4.7000","279.69K","40.16%"
"Dec 14, 2017","8.2500","7.1200","8.6000","6.6500","195.64K","15.87%"
"Dec 15, 2017","7.9000","8.2500","8.4000","6.5300","153.29K","-4.24%"
"Dec 16, 2017","8.4000","7.9000","9.0000","7.9000","56.11K","6.33%"
"Dec 17, 2017","7.9400","8.4000","8.8800","7.8900","131.17K","-5.48%"
"Dec 18, 2017","8.8500","7.9400","8.8700","7.2300","150.75K","11.46%"
"Dec 19, 2017","11.3500","8.8500","12.0000","8.5000","350.65K","28.25%"
"Dec 20, 2017","10.5000","11.3500","11.6000","9.5100","190.44K","-7.49%"
"Dec 21, 2017","10.5800","10.5000","11.8900","9.1200","196.59K","0.76%"
"Dec 22, 2017","7.6400","10.5800","10.6500","6.5400","432.29K","-27.79%"
"Dec 23, 2017","8.1800","7.6400","9.1200","7.6200","182.41K","7.07%"
"Dec 24, 2017","7.9100","8.1800","8.3200","6.8100","158.74K","-3.30%"
"Dec 25, 2017","8.1500","7.9100","8.7000","7.6800","145.75K","3.03%"
"Dec 26, 2017","8.6000","8.1500","8.7500","8.1500","96.04K","5.52%"
"Dec 27, 2017","8.7600","8.6000","9.4500","8.2000","193.23K","1.86%"
"Dec 28, 2017","8.1400","8.7600","8.8000","7.3100","232.63K","-7.08%"
"Dec 29, 2017","8.2600","8.1400","8.6300","7.9300","118.70K","1.47%"
"Dec 30, 2017","7.1000","8.2600","8.2600","6.6100","337.65K","-14.04%"
"Dec 31, 2017","7.6500","7.1000","8.0000","7.0000","440.46K","7.75%"
"Jan 01, 2018","7.6400","7.6500","8.0000","7.2500","433.39K","-0.13%"
"Jan 02, 2018","8.3300","7.6400","8.5900","7.6400","720.92K","9.03%"
"Jan 03, 2018","9.3300","8.3300","9.3500","7.7000","543.72K","12.00%"
"Jan 04, 2018","9.5000","9.3300","10.5600","9.1000","660.43K","1.82%"
