"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2020","59.339","57.950","59.725","57.950","397.23K","2.42%"
"Nov 10, 2020","57.939","59.238","59.238","57.939","335.47K","-2.19%"
"Nov 09, 2020","59.238","61.014","61.104","58.988","473.85K","-2.86%"
"Nov 08, 2020","60.983","58.881","60.983","58.881","401.22K","3.57%"
"Nov 07, 2020","58.881","63.179","63.179","58.881","941.52K","-6.80%"
"Nov 06, 2020","63.179","58.957","63.179","58.957","893.70K","7.16%"
"Nov 05, 2020","58.957","54.660","59.499","54.660","610.17K","7.87%"
"Nov 04, 2020","54.657","53.973","54.657","52.980","436.64K","1.27%"
"Nov 03, 2020","53.973","53.807","53.973","53.765","400.85K","0.31%"
"Nov 02, 2020","53.807","55.599","55.599","53.807","399.90K","-3.22%"
"Nov 01, 2020","55.599","55.741","55.741","54.912","224.37K","-0.34%"
"Oct 31, 2020","55.786","54.016","55.786","54.016","409.31K","3.28%"
"Oct 30, 2020","54.016","54.837","54.837","54.016","391.97K","-1.59%"
"Oct 29, 2020","54.889","55.800","55.800","54.650","432.13K","-1.63%"
"Oct 28, 2020","55.800","57.942","57.942","55.640","619.24K","-3.70%"
"Oct 27, 2020","57.942","56.809","57.942","56.704","343.31K","1.99%"
"Oct 26, 2020","56.809","58.834","59.106","56.809","435.81K","-3.44%"
"Oct 25, 2020","58.834","59.227","59.227","58.834","423.33K","-0.66%"
"Oct 24, 2020","59.227","55.361","59.227","55.361","488.85K","6.98%"
"Oct 23, 2020","55.361","54.369","56.071","54.369","432.50K","1.82%"
"Oct 22, 2020","54.369","52.967","54.369","52.967","743.13K","2.65%"
"Oct 21, 2020","52.967","46.887","52.967","46.887","677.27K","12.96%"
"Oct 20, 2020","46.888","47.990","47.990","46.888","227.53K","-2.30%"
"Oct 19, 2020","47.990","47.520","48.134","47.085","179.95K","0.97%"
"Oct 18, 2020","47.528","46.928","47.528","46.928","124.01K","1.28%"
"Oct 17, 2020","46.928","47.625","47.625","46.708","171.98K","-1.36%"
"Oct 16, 2020","47.574","49.513","49.513","46.975","508.96K","-3.92%"
"Oct 15, 2020","49.513","49.788","49.788","49.513","227.33K","-0.55%"
"Oct 14, 2020","49.788","49.915","49.915","49.788","296.44K","-0.25%"
"Oct 13, 2020","49.915","50.555","50.555","49.915","351.64K","-1.27%"
"Oct 12, 2020","50.555","50.471","50.555","50.243","375.51K","0.17%"
"Oct 11, 2020","50.471","48.876","50.471","48.876","355.41K","3.26%"
"Oct 10, 2020","48.876","47.768","49.088","47.768","377.21K","2.32%"
"Oct 09, 2020","47.768","47.207","47.768","46.827","236.11K","1.19%"
"Oct 08, 2020","47.207","46.540","47.207","46.011","248.02K","1.43%"
"Oct 07, 2020","46.540","45.974","46.540","45.622","240.85K","1.23%"
"Oct 06, 2020","45.974","46.342","46.342","45.974","367.30K","-0.79%"
"Oct 05, 2020","46.342","46.688","46.688","46.189","184.13K","-0.74%"
"Oct 04, 2020","46.688","45.510","46.688","45.510","216.90K","2.59%"
"Oct 03, 2020","45.510","44.896","45.510","44.896","166.46K","1.37%"
"Oct 02, 2020","44.896","46.224","46.224","44.563","420.48K","-2.87%"
"Oct 01, 2020","46.224","46.246","48.124","46.224","469.99K","-0.05%"
"Sep 30, 2020","46.246","45.681","46.246","45.681","242.65K","1.24%"
"Sep 29, 2020","45.681","45.259","45.681","45.259","171.79K","0.93%"
"Sep 28, 2020","45.259","46.067","46.067","45.259","285.27K","-1.75%"
"Sep 27, 2020","46.067","46.000","46.067","45.935","277.69K","0.15%"
